mp_id,raw_output,model,experiment,ts
mp-1212833,"```json
{
  ""material_id"": ""mp-1212833"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.114569,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627595.0692701
mp-571518,"```json
{
  ""material_id"": ""mp-571518"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.362262,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627596.403593
mp-9852,"```json
{
  ""material_id"": ""mp-9852"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.021781715,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627598.042725
mp-34202,"```json
{
  ""material_id"": ""mp-34202"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.023212597,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627599.575061
mp-570796,"```json
{
  ""material_id"": ""mp-570796"",
  ""band_gap_eV"": 0.3188,
  ""formation_energy_per_atom_eV"": -0.1547,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00060638,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627601.1108549
mp-1195,"```json
{
  ""material_id"": ""mp-1195"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0195,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627602.65799
mp-672204,"```json
{
  ""material_id"": ""mp-672204"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.3508,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627604.290024
mp-29179,"```json
{
  ""material_id"": ""mp-29179"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.03535,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627605.8249228
mp-1205121,"```json
{
  ""material_id"": ""mp-1205121"",
  ""band_gap_eV"": 1.9891,
  ""formation_energy_per_atom_eV"": -0.04043865,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.000001,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627607.212609
mp-10497,"```json
{
  ""material_id"": ""mp-10497"",
  ""band_gap_eV"": 0.3357,
  ""formation_energy_per_atom_eV"": -0.031,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00001,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627608.7647061
mp-27148,"```json
{
  ""material_id"": ""mp-27148"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.04187,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627610.660554
mp-1545417,"```json
{
  ""material_id"": ""mp-1545417"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.03024537,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627612.1309261
mp-1203760,"```json
{
  ""material_id"": ""mp-1203760"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.027366317,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 1.000000e-06,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627613.712168
mp-470,"```json
{
  ""material_id"": ""mp-470"",
  ""band_gap_eV"": 0.38,
  ""formation_energy_per_atom_eV"": -0.077,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.01,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627615.119833
mp-16922,"```json
{
  ""material_id"": ""mp-16922"",
  ""band_gap_eV"": 2.346,
  ""formation_energy_per_atom_eV"": -0.286229831,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00026683,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627616.680053
mp-624,"```json
{
  ""material_id"": ""mp-624"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.026929059,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627618.216162
mp-22859,"```json
{
  ""material_id"": ""mp-22859"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.03716727,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627619.545459
mp-31050,"```json
{
  ""material_id"": ""mp-31050"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.03055,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627621.026827
mp-541013,"```json
{
  ""material_id"": ""mp-541013"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.55577646,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.00138245,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627622.4767869
mp-18536,"```json
{
  ""material_id"": ""mp-18536"",
  ""band_gap_eV"": 2.357,
  ""formation_energy_per_atom_eV"": -0.075,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00006,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627623.956636
mp-200,"```json
{
  ""material_id"": ""mp-200"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.026,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627625.586848
mp-23261,"```json
{
  ""material_id"": ""mp-23261"",
  ""band_gap_eV"": 1.602,
  ""formation_energy_per_atom_eV"": -0.29690375,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00000000,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627627.227964
mp-7440,"```json
{
  ""material_id"": ""mp-7440"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.29359444,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627628.763615
mp-569867,"```json
{
  ""material_id"": ""mp-569867"",
  ""band_gap_eV"": 1.869,
  ""formation_energy_per_atom_eV"": -0.29969134,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0000006,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627630.401827
mp-1205852,"```json
{
  ""material_id"": ""mp-1205852"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0494,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627631.901518
mp-28483,"```json
{
  ""material_id"": ""mp-28483"",
  ""band_gap_eV"": 0.1,
  ""formation_energy_per_atom_eV"": -0.035,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627633.4744089
mp-561664,"```json
{
  ""material_id"": ""mp-561664"",
  ""band_gap_eV"": 0.302,
  ""formation_energy_per_atom_eV"": -0.0151,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0101,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627635.112821
mp-27871,"```json
{
  ""material_id"": ""mp-27871"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.02216684,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627637.054942
mp-680339,"```json
{
  ""material_id"": ""mp-680339"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.00275241,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627638.8005278
mp-582753,"```json
{
  ""material_id"": ""mp-582753"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0347,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627640.1306088
mp-30092,"```json
{
  ""material_id"": ""mp-30092"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.077582711,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627642.585226
mp-27161,"```json
{
  ""material_id"": ""mp-27161"",
  ""band_gap_eV"": 0.57,
  ""formation_energy_per_atom_eV"": -0.2586315,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.03787967,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627644.3256772
mp-1018138,"```json
{
  ""material_id"": ""mp-1018138"",
  ""band_gap_eV"": 2.567,
  ""formation_energy_per_atom_eV"": -0.308,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00127,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627646.47942
mp-23155,"```json
{
  ""material_id"": ""mp-23155"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.035,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.000001,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627647.741599
mp-1197742,"```json
{
  ""material_id"": ""mp-1197742"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0549,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627649.3391519
mp-647579,"```json
{
  ""material_id"": ""mp-647579"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.3291,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627650.830239
mp-15649,"```json
{
  ""material_id"": ""mp-15649"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.068352778,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627652.825718
mp-557993,"```json
{
  ""material_id"": ""mp-557993"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.003,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627654.264464
mp-7904,"```json
{
  ""material_id"": ""mp-7904"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01594547,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627655.764361
mp-570738,"```json
{
  ""material_id"": ""mp-570738"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01575495,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0000009,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627657.1617181
mp-628742,"```json
{
  ""material_id"": ""mp-628742"",
  ""band_gap_eV"": 0.387,
  ""formation_energy_per_atom_eV"": -0.0685,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.000729,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627658.715035
mp-1204356,"```json
{
  ""material_id"": ""mp-1204356"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.025635,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627659.917113
mp-7262,"```json
{
  ""material_id"": ""mp-7262"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0416217716,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627661.5304818
mp-28879,"```json
{
  ""material_id"": ""mp-28879"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.10574175,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627663.168129
mp-27684,"```json
{
  ""material_id"": ""mp-27684"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01637,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627664.809145
mp-541404,"```json
{
  ""material_id"": ""mp-541404"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0557037037,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627666.141221
mp-1391848,"```json
{
  ""material_id"": ""mp-1391848"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.024647931,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627667.67376
mp-1184796,"```json
{
  ""material_id"": ""mp-1184796"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.008481025,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627669.210142
mp-9268,"```json
{
  ""material_id"": ""mp-9268"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.103316,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 1e-6,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627670.749218
mp-540922,"```json
{
  ""material_id"": ""mp-540922"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.035888,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627672.1799119
mp-540675,"```json
{
  ""material_id"": ""mp-540675"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.190614,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.000000,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627673.629493
mp-571235,"```json
{
  ""material_id"": ""mp-571235"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0706,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627675.085633
mp-1208424,"```json
{
  ""material_id"": ""mp-1208424"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0408,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627676.480454
mp-27971,"```json
{
  ""material_id"": ""mp-27971"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0065,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627678.119574
mp-22909,"```json
{
  ""material_id"": ""mp-22909"",
  ""band_gap_eV"": 0.3171,
  ""formation_energy_per_atom_eV"": -0.1973,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0281,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627679.6432378
mp-556516,"```json
{
  ""material_id"": ""mp-556516"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.1674,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627681.067044
mp-21526,"```json
{
  ""material_id"": ""mp-21526"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0643,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627682.526004
mp-1274279,"```json
{
  ""material_id"": ""mp-1274279"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.003853148,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627684.062491
mp-554855,"```json
{
  ""material_id"": ""mp-554855"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.02451157,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627685.5944278
mp-510557,"```json
{
  ""material_id"": ""mp-510557"",
  ""band_gap_eV"": 1.0937,
  ""formation_energy_per_atom_eV"": -0.1325,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627687.096937
mp-27291,"```json
{
  ""material_id"": ""mp-27291"",
  ""band_gap_eV"": 0.16,
  ""formation_energy_per_atom_eV"": -0.0357,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627688.676655
mp-568348,"```json
{
  ""material_id"": ""mp-568348"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0275,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627690.2023869
mp-2084,"```json
{
  ""material_id"": ""mp-2084"",
  ""band_gap_eV"": 1.583,
  ""formation_energy_per_atom_eV"": -0.201366544,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627691.7309399
mp-995393,"```json
{
  ""material_id"": ""mp-995393"",
  ""band_gap_eV"": 0.123,
  ""formation_energy_per_atom_eV"": -0.123,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.000001,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627693.2403982
mp-1345,"```json
{
  ""material_id"": ""mp-1345"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01177217,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627694.85412
mp-1193140,"```json
{
  ""material_id"": ""mp-1193140"",
  ""band_gap_eV"": 2.0374,
  ""formation_energy_per_atom_eV"": -0.0699,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.0024,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627696.382729
mp-29657,"```json
{
  ""material_id"": ""mp-29657"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.020714616666666667,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627697.884449
mp-23265,"```json
{
  ""material_id"": ""mp-23265"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0014,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627699.218488
mp-542812,"```json
{
  ""material_id"": ""mp-542812"",
  ""band_gap_eV"": 0.0091,
  ""formation_energy_per_atom_eV"": -0.2398,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0000,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627700.856831
mp-10802,"```json
{
  ""material_id"": ""mp-10802"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.0322637037,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627703.618361
mp-27725,"```json
{
  ""material_id"": ""mp-27725"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.089936805,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627705.175551
mp-1080428,"```json
{
  ""material_id"": ""mp-1080428"",
  ""band_gap_eV"": 2.114,
  ""formation_energy_per_atom_eV"": -0.393,
  ""is_metal"": false,
  ""energy_above_hull_eV"": 0.00968,
  ""is_stable"": false
}
```",gemini,exp1_hard_baseline,1770627706.8122501
mp-569561,"```json
{
  ""material_id"": ""mp-569561"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.38163301,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627708.4039922
mp-743,"```json
{
  ""material_id"": ""mp-743"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.068548747,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627709.907048
mp-484,"```json
{
  ""material_id"": ""mp-484"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.01855132,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627711.2891278
mp-1864,"```json
{
  ""material_id"": ""mp-1864"",
  ""band_gap_eV"": 0.0,
  ""formation_energy_per_atom_eV"": -0.03868073527777777,
  ""is_metal"": true,
  ""energy_above_hull_eV"": 0.0,
  ""is_stable"": true
}
```",gemini,exp1_hard_baseline,1770627713.041039
