mp_id,raw_output,model,experiment,ts,override_applied,fail_reasons
mp-23185,"{""material_id"": ""mp-23185"", ""band_gap_eV"": 2.8624, ""formation_energy_per_atom_eV"": -0.857616325999999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740659,False,
mp-23290,"{""material_id"": ""mp-23290"", ""band_gap_eV"": 1.7917, ""formation_energy_per_atom_eV"": -0.475064009999998, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.74074,False,
mp-30031,"{""material_id"": ""mp-30031"", ""band_gap_eV"": 3.8971, ""formation_energy_per_atom_eV"": -1.89441126, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7408168,False,
mp-555908,"{""material_id"": ""mp-555908"", ""band_gap_eV"": 2.2721, ""formation_energy_per_atom_eV"": -2.341685073333334, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740885,False,
mp-22398,"{""material_id"": ""mp-22398"", ""band_gap_eV"": 3.1061, ""formation_energy_per_atom_eV"": -2.648772015416667, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.740952,False,
mp-27628,"{""material_id"": ""mp-27628"", ""band_gap_eV"": 1.3552, ""formation_energy_per_atom_eV"": -0.3329571455, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7410188,False,
mp-1212833,"{""material_id"": ""mp-1212833"", ""band_gap_eV"": 0.3912, ""formation_energy_per_atom_eV"": -0.299415060454546, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.74109,False,
mp-571518,"{""material_id"": ""mp-571518"", ""band_gap_eV"": 1.9169, ""formation_energy_per_atom_eV"": -0.946381717857144, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7411578,False,
mp-9852,"{""material_id"": ""mp-9852"", ""band_gap_eV"": 0.1259, ""formation_energy_per_atom_eV"": -0.616732226646824, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741225,False,
mp-34202,"{""material_id"": ""mp-34202"", ""band_gap_eV"": 0.3388, ""formation_energy_per_atom_eV"": -0.274401004000003, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741299,False,
mp-570796,"{""material_id"": ""mp-570796"", ""band_gap_eV"": 1.5374, ""formation_energy_per_atom_eV"": -0.7330447383333331, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741368,False,
mp-1195,"{""material_id"": ""mp-1195"", ""band_gap_eV"": 1.8930999999999991, ""formation_energy_per_atom_eV"": -0.50608046735294, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741436,False,
mp-672204,"{""material_id"": ""mp-672204"", ""band_gap_eV"": 0.3787, ""formation_energy_per_atom_eV"": -0.400380674375, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741502,False,
mp-29179,"{""material_id"": ""mp-29179"", ""band_gap_eV"": 3.1002, ""formation_energy_per_atom_eV"": -1.055039141666666, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7415721,False,
mp-1205121,"{""material_id"": ""mp-1205121"", ""band_gap_eV"": 0.2452, ""formation_energy_per_atom_eV"": -0.510760389375001, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741639,False,
mp-10497,"{""material_id"": ""mp-10497"", ""band_gap_eV"": 2.2919, ""formation_energy_per_atom_eV"": -0.127321634999998, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741705,False,
mp-27148,"{""material_id"": ""mp-27148"", ""band_gap_eV"": 0.8362, ""formation_energy_per_atom_eV"": -0.319383066011903, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741774,False,
mp-1545417,"{""material_id"": ""mp-1545417"", ""band_gap_eV"": 0.7359, ""formation_energy_per_atom_eV"": -1.7181544525, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.741843,False,
mp-1203760,"{""material_id"": ""mp-1203760"", ""band_gap_eV"": 1.0648, ""formation_energy_per_atom_eV"": -0.553621656590911, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7419488,False,
mp-470,"{""material_id"": ""mp-470"", ""band_gap_eV"": 1.2157, ""formation_energy_per_atom_eV"": -2.156655663333334, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.742045,False,
mp-16922,"{""material_id"": ""mp-16922"", ""band_gap_eV"": 0.3248, ""formation_energy_per_atom_eV"": -0.962356391249998, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.742181,False,
mp-624,"{""material_id"": ""mp-624"", ""band_gap_eV"": 2.6454, ""formation_energy_per_atom_eV"": -0.209188941071428, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7422888,False,
mp-22859,"{""material_id"": ""mp-22859"", ""band_gap_eV"": 1.6513, ""formation_energy_per_atom_eV"": -0.443566703750002, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7424252,False,
mp-31050,"{""material_id"": ""mp-31050"", ""band_gap_eV"": 3.6753, ""formation_energy_per_atom_eV"": -0.30258604611111, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.742621,False,
mp-541013,"{""material_id"": ""mp-541013"", ""band_gap_eV"": 1.0859, ""formation_energy_per_atom_eV"": -1.031189425666664, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7427998,False,
mp-18536,"{""material_id"": ""mp-18536"", ""band_gap_eV"": 0.2085, ""formation_energy_per_atom_eV"": -1.12894743375, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.742913,False,
mp-200,"{""material_id"": ""mp-200"", ""band_gap_eV"": 0.8617, ""formation_energy_per_atom_eV"": -0.514802012604166, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7429912,False,
mp-23261,"{""material_id"": ""mp-23261"", ""band_gap_eV"": 2.7278, ""formation_energy_per_atom_eV"": -0.7564620653571411, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.743066,False,
mp-7440,"{""material_id"": ""mp-7440"", ""band_gap_eV"": 0.8684, ""formation_energy_per_atom_eV"": -0.499863119613094, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7431412,False,
mp-569867,"{""material_id"": ""mp-569867"", ""band_gap_eV"": 0.378, ""formation_energy_per_atom_eV"": -0.7546754528571421, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7432508,False,
mp-1205852,"{""material_id"": ""mp-1205852"", ""band_gap_eV"": 0.8523, ""formation_energy_per_atom_eV"": -2.0949976555, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.743347,False,
mp-28483,"{""material_id"": ""mp-28483"", ""band_gap_eV"": 1.069899999999999, ""formation_energy_per_atom_eV"": -0.9345107228571432, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.743432,False,
mp-561664,"{""material_id"": ""mp-561664"", ""band_gap_eV"": 4.0186, ""formation_energy_per_atom_eV"": -2.216336207, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7435079,False,
mp-27871,"{""material_id"": ""mp-27871"", ""band_gap_eV"": 1.2584, ""formation_energy_per_atom_eV"": -0.8457965725, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.743583,False,
mp-680339,"{""material_id"": ""mp-680339"", ""band_gap_eV"": 0.7556, ""formation_energy_per_atom_eV"": -0.28327900617555, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.743659,False,
mp-582753,"{""material_id"": ""mp-582753"", ""band_gap_eV"": 0.8007, ""formation_energy_per_atom_eV"": -0.434993182323239, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7437341,False,
mp-30092,"{""material_id"": ""mp-30092"", ""band_gap_eV"": 3.4576, ""formation_energy_per_atom_eV"": -1.725360933333334, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7438111,False,
mp-27161,"{""material_id"": ""mp-27161"", ""band_gap_eV"": 2.9118, ""formation_energy_per_atom_eV"": -0.8721765856249991, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7438898,False,
mp-1018138,"{""material_id"": ""mp-1018138"", ""band_gap_eV"": 1.037, ""formation_energy_per_atom_eV"": -0.74117, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.744003,False,
mp-23155,"{""material_id"": ""mp-23155"", ""band_gap_eV"": 8.5132, ""formation_energy_per_atom_eV"": 0.0, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.744125,False,
mp-1197742,"{""material_id"": ""mp-1197742"", ""band_gap_eV"": 0.8515, ""formation_energy_per_atom_eV"": -0.327354584285715, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7442079,False,
mp-647579,"{""material_id"": ""mp-647579"", ""band_gap_eV"": 3.2214, ""formation_energy_per_atom_eV"": -1.267659339375001, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.744282,False,
mp-15649,"{""material_id"": ""mp-15649"", ""band_gap_eV"": 0.8155, ""formation_energy_per_atom_eV"": -0.571072849166668, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.744355,False,
mp-557993,"{""material_id"": ""mp-557993"", ""band_gap_eV"": 1.1596, ""formation_energy_per_atom_eV"": -1.459764126666667, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.744431,False,
mp-7904,"{""material_id"": ""mp-7904"", ""band_gap_eV"": 0.6551, ""formation_energy_per_atom_eV"": -0.120742532380951, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.744525,False,
mp-570738,"{""material_id"": ""mp-570738"", ""band_gap_eV"": 2.4744, ""formation_energy_per_atom_eV"": -0.727731253611111, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.74466,False,
mp-628742,"{""material_id"": ""mp-628742"", ""band_gap_eV"": 0.5845, ""formation_energy_per_atom_eV"": -0.486485566153847, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745023,False,
mp-1204356,"{""material_id"": ""mp-1204356"", ""band_gap_eV"": 1.8389, ""formation_energy_per_atom_eV"": -0.305946444868422, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745157,False,
mp-7262,"{""material_id"": ""mp-7262"", ""band_gap_eV"": 0.224099999999999, ""formation_energy_per_atom_eV"": -0.148990749583333, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7453818,True,value_mismatch:formation_energy_per_atom_eV
mp-28879,"{""material_id"": ""mp-28879"", ""band_gap_eV"": 1.1418, ""formation_energy_per_atom_eV"": -1.057331754908424, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745489,False,
mp-27684,"{""material_id"": ""mp-27684"", ""band_gap_eV"": 1.0992, ""formation_energy_per_atom_eV"": -0.932556454761906, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745562,False,
mp-541404,"{""material_id"": ""mp-541404"", ""band_gap_eV"": 0.7584, ""formation_energy_per_atom_eV"": -2.522468176666668, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745634,False,
mp-1391848,"{""material_id"": ""mp-1391848"", ""band_gap_eV"": 2.0863, ""formation_energy_per_atom_eV"": -2.063723397142856, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745703,False,
mp-1184796,"{""material_id"": ""mp-1184796"", ""band_gap_eV"": 8.0745, ""formation_energy_per_atom_eV"": -1.406990803749999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745771,False,
mp-9268,"{""material_id"": ""mp-9268"", ""band_gap_eV"": 0.7039000000000001, ""formation_energy_per_atom_eV"": -1.167954419796875, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7458408,False,
mp-540922,"{""material_id"": ""mp-540922"", ""band_gap_eV"": 0.1806, ""formation_energy_per_atom_eV"": -0.450521733124998, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745909,False,
mp-540675,"{""material_id"": ""mp-540675"", ""band_gap_eV"": 3.0664, ""formation_energy_per_atom_eV"": -0.349825507562499, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.745976,False,
mp-571235,"{""material_id"": ""mp-571235"", ""band_gap_eV"": 2.021, ""formation_energy_per_atom_eV"": -1.227871009333331, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.746044,False,
mp-1208424,"{""material_id"": ""mp-1208424"", ""band_gap_eV"": 2.5242, ""formation_energy_per_atom_eV"": -0.812674219083331, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.746114,False,
mp-27971,"{""material_id"": ""mp-27971"", ""band_gap_eV"": 5.0865, ""formation_energy_per_atom_eV"": -2.788094297499999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.746179,False,
mp-22909,"{""material_id"": ""mp-22909"", ""band_gap_eV"": 4.0533, ""formation_energy_per_atom_eV"": -1.291011926666667, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7462761,False,
mp-556516,"{""material_id"": ""mp-556516"", ""band_gap_eV"": 0.7668, ""formation_energy_per_atom_eV"": -0.505116372129634, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.746345,False,
mp-21526,"{""material_id"": ""mp-21526"", ""band_gap_eV"": 0.5708, ""formation_energy_per_atom_eV"": -0.362189247187497, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7464168,False,
mp-1274279,"{""material_id"": ""mp-1274279"", ""band_gap_eV"": 1.8157, ""formation_energy_per_atom_eV"": -1.481519387499999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.746652,False,
mp-554855,"{""material_id"": ""mp-554855"", ""band_gap_eV"": 1.5712, ""formation_energy_per_atom_eV"": -2.60675029, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.746807,False,
mp-510557,"{""material_id"": ""mp-510557"", ""band_gap_eV"": 4.2395, ""formation_energy_per_atom_eV"": -0.216854790312499, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7469609,False,
mp-27291,"{""material_id"": ""mp-27291"", ""band_gap_eV"": 0.1554, ""formation_energy_per_atom_eV"": -2.149853655, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.747185,False,
mp-568348,"{""material_id"": ""mp-568348"", ""band_gap_eV"": 1.8454, ""formation_energy_per_atom_eV"": 0.0, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7474098,False,
mp-2084,"{""material_id"": ""mp-2084"", ""band_gap_eV"": 0.9438, ""formation_energy_per_atom_eV"": -0.67346, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.747527,False,
mp-995393,"{""material_id"": ""mp-995393"", ""band_gap_eV"": 2.1989, ""formation_energy_per_atom_eV"": -0.612184769666665, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.747732,False,
mp-1345,"{""material_id"": ""mp-1345"", ""band_gap_eV"": 0.3443, ""formation_energy_per_atom_eV"": -1.2564584531547611, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.747915,False,
mp-1193140,"{""material_id"": ""mp-1193140"", ""band_gap_eV"": 1.8662, ""formation_energy_per_atom_eV"": -0.743681253794641, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.74803,False,
mp-29657,"{""material_id"": ""mp-29657"", ""band_gap_eV"": 0.665199999999999, ""formation_energy_per_atom_eV"": -0.214525574374999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748111,False,
mp-23265,"{""material_id"": ""mp-23265"", ""band_gap_eV"": 2.0054, ""formation_energy_per_atom_eV"": -2.506313930624998, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7481978,False,
mp-542812,"{""material_id"": ""mp-542812"", ""band_gap_eV"": 1.0066, ""formation_energy_per_atom_eV"": -0.442993200833332, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748271,False,
mp-10802,"{""material_id"": ""mp-10802"", ""band_gap_eV"": 0.5879, ""formation_energy_per_atom_eV"": -0.417557193125, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748341,False,
mp-27725,"{""material_id"": ""mp-27725"", ""band_gap_eV"": 2.0942, ""formation_energy_per_atom_eV"": -0.265866406249999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748409,False,
mp-1080428,"{""material_id"": ""mp-1080428"", ""band_gap_eV"": 0.8728, ""formation_energy_per_atom_eV"": -1.326321304, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7484758,False,
mp-569561,"{""material_id"": ""mp-569561"", ""band_gap_eV"": 3.1165, ""formation_energy_per_atom_eV"": -0.639768098499999, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748566,False,
mp-743,"{""material_id"": ""mp-743"", ""band_gap_eV"": 4.1608, ""formation_energy_per_atom_eV"": -0.140204309375, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748634,False,
mp-484,"{""material_id"": ""mp-484"", ""band_gap_eV"": 0.4326, ""formation_energy_per_atom_eV"": -0.001508734, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748705,False,
mp-1864,"{""material_id"": ""mp-1864"", ""band_gap_eV"": 0.1139, ""formation_energy_per_atom_eV"": -0.678575252480158, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748791,False,
mp-30520,"{""material_id"": ""mp-30520"", ""band_gap_eV"": 1.667899999999999, ""formation_energy_per_atom_eV"": -0.498485183452379, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748866,False,
mp-23221,"{""material_id"": ""mp-23221"", ""band_gap_eV"": 3.4296, ""formation_energy_per_atom_eV"": -2.306216135416666, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.748936,False,
mp-149,"{""material_id"": ""mp-149"", ""band_gap_eV"": 0.6105, ""formation_energy_per_atom_eV"": 0.0, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7490041,False,
mp-1863,"{""material_id"": ""mp-1863"", ""band_gap_eV"": 1.4519, ""formation_energy_per_atom_eV"": -0.119684392083333, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.749077,False,
mp-1524446,"{""material_id"": ""mp-1524446"", ""band_gap_eV"": 1.0487, ""formation_energy_per_atom_eV"": -1.452075918750001, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.749148,False,
mp-730101,"{""material_id"": ""mp-730101"", ""band_gap_eV"": 9.7197, ""formation_energy_per_atom_eV"": 0.0, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.749217,False,
mp-31049,"{""material_id"": ""mp-31049"", ""band_gap_eV"": 3.4112, ""formation_energy_per_atom_eV"": -3.159657924166664, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.749286,False,
mp-573812,"{""material_id"": ""mp-573812"", ""band_gap_eV"": 1.4052, ""formation_energy_per_atom_eV"": -0.28239570742611, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.7494211,False,
mp-1213805,"{""material_id"": ""mp-1213805"", ""band_gap_eV"": 1.159, ""formation_energy_per_atom_eV"": -0.723041855833334, ""is_metal"": false, ""energy_above_hull_eV"": 0.0, ""is_stable"": true}",gemini,exp3_hard_verify_override,1770629456.749493,False,
