mp_id,property,tool_value_input,data_source,step1_generator_output,step2_verified_output,is_corrected
mp-30140,formation_energy_per_atom,-0.836349655000001,CSV_Frozen,The formation_energy_per_atom of mp-30140 is -0.836349655000001 eV/atom.,-0.836349655000001,True
mp-30140,band_gap,4.1443,CSV_Frozen,The band gap of mp-30140 is 4.1443 eV.,4.1443,True
mp-1170,formation_energy_per_atom,-0.473969728541665,CSV_Frozen,The formation energy per atom of mp-1170 is -0.473969728541665 eV/atom.,-0.473969728541665,True
mp-1195922,band_gap,0.376,CSV_Frozen,The band gap of mp-1195922 is 0.376 eV.,0.376,True
mp-254,band_gap,7.6164,CSV_Frozen,The band gap of mp-254 is 7.6164 eV.,7.6164,True
mp-1195922,formation_energy_per_atom,-0.417257172291664,CSV_Frozen,The formation_energy_per_atom of mp-1195922 is -0.417257172291664.,-0.417257172291664,True
mp-32633,formation_energy_per_atom,-1.930073411158088,CSV_Frozen,The formation_energy_per_atom of mp-32633 is -1.930073411158088 eV/atom.,-1.930073411158088,True
mp-1170,band_gap,1.514799999999999,CSV_Frozen,The band gap of mp-1170 is 1.5148 eV.,1.514799999999999,True
mp-18299,band_gap,0.2155,CSV_Frozen,The band gap of mp-18299 is 0.2155 eV.,0.2155,True
mp-32633,band_gap,0.5265000000000001,CSV_Frozen,The band gap of mp-32633 is 0.5265 eV (database value 0.5265000000000001).,0.5265000000000001,True
mp-254,formation_energy_per_atom,-4.452365858958333,CSV_Frozen,The formation_energy_per_atom of mp-254 is -4.452365858958333 eV/atom.,-4.452365858958333,True
mp-18299,formation_energy_per_atom,-3.992617684583336,CSV_Frozen,The formation energy per atom of mp-18299 is -3.992617684583336 eV/atom.,-3.992617684583336,True
mp-23185,band_gap,2.8624,CSV_Frozen,The band gap of mp-23185 is 2.8624 eV.,2.8624,True
mp-30031,formation_energy_per_atom,-1.89441126,CSV_Frozen,The formation_energy_per_atom of mp-30031 is -1.89441126 eV/atom.,-1.89441126,True
mp-23290,formation_energy_per_atom,-0.475064009999998,CSV_Frozen,The formation_energy_per_atom of mp-23290 is -0.475064009999998 eV/atom.,-0.475064009999998,True
mp-555908,band_gap,2.2721,CSV_Frozen,The band gap of mp-555908 is 2.2721 eV.,2.2721,True
mp-23185,formation_energy_per_atom,-0.857616325999999,CSV_Frozen,The formation energy per atom of mp-23185 is -0.857616325999999 eV/atom.,-0.857616325999999,True
mp-30031,band_gap,3.8971,CSV_Frozen,The band gap of mp-30031 is 3.8971 eV.,3.8971,True
mp-23290,band_gap,1.7917,CSV_Frozen,The band_gap of mp-23290 is 1.7917.,1.7917,True
mp-22398,band_gap,3.1061,CSV_Frozen,The band gap of mp-22398 is 3.1061 eV.,3.1061,True
mp-555908,formation_energy_per_atom,-2.341685073333334,CSV_Frozen,The formation energy per atom of mp-555908 is -2.341685073333334 eV/atom.,-2.341685073333334,True
mp-27628,band_gap,1.3552,CSV_Frozen,The band gap of mp-27628 is 1.3552 eV.,1.3552,True
mp-22398,formation_energy_per_atom,-2.648772015416667,CSV_Frozen,The formation_energy_per_atom of mp-22398 is -2.648772015416667 eV/atom.,-2.648772015416667,True
mp-27628,formation_energy_per_atom,-0.3329571455,CSV_Frozen,The formation energy per atom of mp-27628 is -0.3329571455 eV/atom.,-0.3329571455,True
mp-1212833,band_gap,0.3912,CSV_Frozen,The band gap of mp-1212833 is 0.3912 eV.,0.3912,True
mp-1212833,formation_energy_per_atom,-0.299415060454546,CSV_Frozen,The formation_energy_per_atom of mp-1212833 is -0.299415060454546 eV/atom.,-0.299415060454546,True
mp-9852,band_gap,0.1259,CSV_Frozen,The band gap of mp-9852 is 0.1259 eV.,0.1259,True
mp-571518,band_gap,1.9169,CSV_Frozen,The band gap of mp-571518 is 1.9169 eV.,1.9169,True
mp-34202,band_gap,0.3388,CSV_Frozen,The band gap of mp-34202 is 0.3388 eV.,0.3388,True
mp-9852,formation_energy_per_atom,-0.616732226646824,CSV_Frozen,The formation_energy_per_atom of mp-9852 is -0.616732226646824 eV/atom.,-0.616732226646824,True
mp-571518,formation_energy_per_atom,-0.946381717857144,CSV_Frozen,The formation_energy_per_atom of mp-571518 is -0.946381717857144 eV/atom.,-0.946381717857144,True
mp-34202,formation_energy_per_atom,-0.274401004000003,CSV_Frozen,The formation energy per atom of mp-34202 is -0.274401004000003 eV/atom.,-0.274401004000003,True
mp-570796,formation_energy_per_atom,-0.7330447383333331,CSV_Frozen,The formation energy per atom of mp-570796 is −0.7330447383333331 eV/atom.,-0.7330447383333331,True
mp-570796,band_gap,1.537399999999999,CSV_Frozen,The band gap of mp-570796 is 1.5374 eV.,1.537399999999999,True
mp-1195,band_gap,1.8930999999999991,CSV_Frozen,The band gap of mp-1195 is 1.8930999999999991 eV.,1.8930999999999991,True
mp-1195,formation_energy_per_atom,-0.50608046735294,CSV_Frozen,The formation_energy_per_atom of mp-1195 is -0.50608046735294 eV/atom.,-0.50608046735294,True
mp-29179,band_gap,3.1002,CSV_Frozen,The band gap of mp-29179 is 3.1002 eV.,3.1002,True
mp-672204,band_gap,0.378699999999999,CSV_Frozen,The band gap of mp-672204 is 0.3787 eV according to the database.,0.378699999999999,True
mp-672204,formation_energy_per_atom,-0.400380674374999,CSV_Frozen,The formation energy per atom of mp-672204 is -0.400380674374999 eV/atom.,-0.400380674374999,True
mp-1205121,band_gap,0.2452,CSV_Frozen,The band gap of mp-1205121 is 0.2452 eV.,0.2452,True
mp-29179,formation_energy_per_atom,-1.055039141666666,CSV_Frozen,The formation energy per atom of mp-29179 is -1.055039141666666 eV/atom.,-1.055039141666666,True
mp-10497,band_gap,2.2919,CSV_Frozen,The band gap of mp-10497 is 2.2919 eV.,2.2919,True
mp-1205121,formation_energy_per_atom,-0.510760389375001,CSV_Frozen,The formation energy per atom of mp-1205121 is -0.510760389375001 eV/atom.,-0.510760389375001,True
mp-27148,band_gap,0.836199999999999,CSV_Frozen,The band gap of mp-27148 is 0.8362 eV.,0.836199999999999,True
mp-10497,formation_energy_per_atom,-0.127321634999998,CSV_Frozen,The formation energy per atom of mp-10497 is -0.127321634999998 eV/atom.,-0.127321634999998,True
mp-27148,formation_energy_per_atom,-0.319383066011903,CSV_Frozen,The formation_energy_per_atom of mp-27148 is -0.319383066011903 eV/atom.,-0.319383066011903,True
mp-1545417,band_gap,0.7358999999999991,CSV_Frozen,The band gap of mp-1545417 is 0.7359 eV.,0.7358999999999991,True
mp-1545417,formation_energy_per_atom,-1.718154452499998,CSV_Frozen,The formation_energy_per_atom of mp-1545417 is -1.718154452499998 eV per atom.,-1.718154452499998,True
mp-1203760,band_gap,1.0648,CSV_Frozen,The band gap of mp-1203760 is 1.0648 eV.,1.0648,True
mp-470,band_gap,1.2157,CSV_Frozen,The database lists the band gap of mp-470 as 1.2157 eV.,1.2157,True
mp-16922,band_gap,0.3248,CSV_Frozen,The band gap of mp-16922 is 0.3248 eV.,0.3248,True
mp-470,formation_energy_per_atom,-2.156655663333334,CSV_Frozen,The formation_energy_per_atom of mp-470 is -2.156655663333334 eV/atom.,-2.156655663333334,True
mp-1203760,formation_energy_per_atom,-0.553621656590911,CSV_Frozen,The formation_energy_per_atom of mp-1203760 is -0.553621656590911 eV/atom.,-0.553621656590911,True
mp-624,band_gap,2.6454,CSV_Frozen,The band gap of mp-624 is 2.6454 eV.,2.6454,True
mp-16922,formation_energy_per_atom,-0.962356391249998,CSV_Frozen,The formation_energy_per_atom of mp-16922 is -0.962356391249998.,-0.962356391249998,True
mp-624,formation_energy_per_atom,-0.209188941071428,CSV_Frozen,The formation energy per atom of mp-624 is -0.209188941071428 eV/atom.,-0.209188941071428,True
mp-22859,band_gap,1.6513,CSV_Frozen,The database lists the band_gap of mp-22859 as 1.6513 eV.,1.6513,True
mp-541013,band_gap,1.0859,CSV_Frozen,The band gap of mp-541013 is 1.0859 eV.,1.0859,True
mp-31050,band_gap,3.6753,CSV_Frozen,The band gap of mp-31050 is 3.6753 eV.,3.6753,True
mp-541013,formation_energy_per_atom,-1.031189425666664,CSV_Frozen,The formation energy per atom of mp-541013 is -1.031189425666664 eV per atom.,-1.031189425666664,True
mp-22859,formation_energy_per_atom,-0.443566703750002,CSV_Frozen,The database value for the formation_energy_per_atom of mp-22859 is -0.443566703750002.,-0.443566703750002,True
mp-31050,formation_energy_per_atom,-0.30258604611111,CSV_Frozen,The formation energy per atom of mp-31050 is -0.30258604611111 eV/atom.,-0.30258604611111,True
mp-18536,formation_energy_per_atom,-1.128947433749999,CSV_Frozen,The formation energy per atom of mp-18536 is -1.128947433749999 eV/atom.,-1.128947433749999,True
mp-200,band_gap,0.861699999999999,CSV_Frozen,The band gap of mp-200 is 0.8617 eV.,0.861699999999999,True
mp-23261,band_gap,2.7278,CSV_Frozen,The band gap of mp-23261 is 2.7278 eV.,2.7278,True
mp-23261,formation_energy_per_atom,-0.7564620653571411,CSV_Frozen,The formation energy per atom of mp-23261 is -0.7564620653571411 eV/atom.,-0.7564620653571411,True
mp-200,formation_energy_per_atom,-0.514802012604166,CSV_Frozen,The formation energy per atom of mp-200 is -0.514802012604166 eV/atom.,-0.514802012604166,True
mp-18536,band_gap,0.208499999999999,CSV_Frozen,The band gap of mp-18536 is 0.2085 eV.,0.208499999999999,True
mp-7440,formation_energy_per_atom,-0.499863119613094,CSV_Frozen,The formation energy per atom of mp-7440 is -0.499863119613094 eV/atom.,-0.499863119613094,True
mp-7440,band_gap,0.8684000000000001,CSV_Frozen,The band gap of mp-7440 is 0.8684 eV.,0.8684000000000001,True
mp-569867,band_gap,0.378,CSV_Frozen,The band gap of mp-569867 is 0.378 eV according to the database.,0.378,True
mp-561664,formation_energy_per_atom,-2.216336207,CSV_Frozen,The formation_energy_per_atom of mp-561664 is -2.216336207 eV per atom.,-2.216336207,True
mp-569867,formation_energy_per_atom,-0.7546754528571421,CSV_Frozen,The formation energy per atom of mp-569867 is -0.7546754528571421 eV/atom.,-0.7546754528571421,True
mp-28483,band_gap,1.069899999999999,CSV_Frozen,The band gap of mp-28483 is 1.0699 eV.,1.069899999999999,True
mp-28483,formation_energy_per_atom,-0.9345107228571432,CSV_Frozen,The formation energy per atom of mp-28483 is -0.9345107228571432 eV/atom.,-0.9345107228571432,True
mp-1205852,band_gap,0.8523000000000001,CSV_Frozen,The band gap of mp-1205852 is 0.8523 eV.,0.8523000000000001,True
mp-1205852,formation_energy_per_atom,-2.094997655499997,CSV_Frozen,The formation energy per atom of mp-1205852 is -2.094997655499997 eV per atom.,-2.094997655499997,True
mp-561664,band_gap,4.0186,CSV_Frozen,The band_gap of mp-561664 is 4.0186 eV.,4.0186,True
mp-27871,band_gap,1.2584,CSV_Frozen,The band gap of mp-27871 is 1.2584 eV.,1.2584,True
mp-27871,formation_energy_per_atom,-0.8457965725000001,CSV_Frozen,The formation_energy_per_atom of mp-27871 is -0.8457965725000001.,-0.8457965725000001,True
mp-680339,band_gap,0.755599999999999,CSV_Frozen,The band gap of mp-680339 is 0.7556 eV.,0.755599999999999,True
mp-582753,band_gap,0.8007000000000001,CSV_Frozen,The band gap of mp-582753 is 0.8007 eV.,0.8007000000000001,True
mp-680339,formation_energy_per_atom,-0.28327900617555,CSV_Frozen,The formation energy per atom of mp-680339 is -0.28327900617555 eV/atom.,-0.28327900617555,True
mp-582753,formation_energy_per_atom,-0.434993182323239,CSV_Frozen,The formation_energy_per_atom of mp-582753 is -0.434993182323239 eV/atom.,-0.434993182323239,True
mp-30092,band_gap,3.4576,CSV_Frozen,The band gap of mp-30092 is 3.4576 eV.,3.4576,True
mp-30092,formation_energy_per_atom,-1.725360933333334,CSV_Frozen,The formation_energy_per_atom of mp-30092 is -1.725360933333334 eV/atom.,-1.725360933333334,True
mp-27161,band_gap,2.9118,CSV_Frozen,The band gap of mp-27161 is 2.9118 eV.,2.9118,True
mp-23155,band_gap,8.5132,CSV_Frozen,The band gap of mp-23155 is 8.5132 eV.,8.5132,True
mp-27161,formation_energy_per_atom,-0.8721765856249991,CSV_Frozen,The formation energy per atom of mp-27161 is -0.8721765856249991 eV/atom.,-0.8721765856249991,True
mp-1197742,band_gap,0.8515,CSV_Frozen,The band gap of mp-1197742 is 0.8515 eV.,0.8515,True
mp-1018138,band_gap,1.037,CSV_Frozen,The band gap of mp-1018138 is 1.037 eV.,1.037,True
mp-23155,formation_energy_per_atom,0.0,CSV_Frozen,The database value for the formation_energy_per_atom of mp-23155 is 0.0 eV/atom.,0.0,True
mp-1018138,formation_energy_per_atom,-0.7411700000000001,CSV_Frozen,The formation_energy_per_atom of mp-1018138 is -0.7411700000000001 eV/atom.,-0.7411700000000001,True
mp-1197742,formation_energy_per_atom,-0.327354584285715,CSV_Frozen,The formation energy per atom of mp-1197742 is -0.327354584285715 eV/atom.,-0.327354584285715,True
mp-647579,band_gap,3.2214,CSV_Frozen,The band gap of mp-647579 is 3.2214 eV.,3.2214,True
mp-647579,formation_energy_per_atom,-1.267659339375001,CSV_Frozen,The formation energy per atom of mp-647579 is -1.267659339375001 eV/atom.,-1.267659339375001,True
mp-557993,band_gap,1.1596,CSV_Frozen,The band gap of mp-557993 is 1.1596 eV.,1.1596,True
mp-15649,formation_energy_per_atom,-0.571072849166668,CSV_Frozen,The formation energy per atom of mp-15649 is -0.571072849166668 eV/atom.,-0.571072849166668,True
mp-15649,band_gap,0.8155000000000001,CSV_Frozen,The band gap of mp-15649 is 0.8155 eV.,0.8155000000000001,True
mp-570738,band_gap,2.4744,CSV_Frozen,The band gap of mp-570738 is 2.4744 eV.,2.4744,True
mp-7904,band_gap,0.6551,CSV_Frozen,The band gap of mp-7904 is 0.6551 eV.,0.6551,True
mp-7904,formation_energy_per_atom,-0.120742532380951,CSV_Frozen,The formation_energy_per_atom of mp-7904 is -0.120742532380951 eV/atom.,-0.120742532380951,True
mp-628742,band_gap,0.5845,CSV_Frozen,The band gap of mp-628742 is 0.5845 eV.,0.5845,True
mp-570738,formation_energy_per_atom,-0.727731253611111,CSV_Frozen,The formation_energy_per_atom of mp-570738 is -0.727731253611111 eV/atom.,-0.727731253611111,True
mp-557993,formation_energy_per_atom,-1.459764126666667,CSV_Frozen,The formation energy per atom of mp-557993 is -1.459764126666667 eV/atom.,-1.459764126666667,True
mp-628742,formation_energy_per_atom,-0.486485566153847,CSV_Frozen,The formation energy per atom of mp-628742 is -0.486485566153847 eV/atom.,-0.486485566153847,True
mp-1204356,band_gap,1.8389,CSV_Frozen,The band gap of mp-1204356 is 1.8389 eV.,1.8389,True
mp-1204356,formation_energy_per_atom,-0.305946444868422,CSV_Frozen,The formation_energy_per_atom of mp-1204356 is -0.305946444868422 eV/atom.,-0.305946444868422,True
mp-28879,formation_energy_per_atom,-1.057331754908424,CSV_Frozen,The formation energy per atom of mp-28879 is -1.057331754908424 eV/atom.,-1.057331754908424,True
mp-7262,formation_energy_per_atom,-0.148990749583333,CSV_Frozen,The formation_energy_per_atom of mp-7262 is -0.148990749583333 eV per atom.,-0.148990749583333,True
mp-28879,band_gap,1.1418,CSV_Frozen,The band gap of mp-28879 is 1.1418 eV.,1.1418,True
mp-7262,band_gap,0.224099999999999,CSV_Frozen,The band gap of mp-7262 is 0.224099999999999 eV.,0.224099999999999,True
mp-541404,band_gap,0.7584000000000001,CSV_Frozen,The band gap of mp-541404 is 0.7584 eV.,0.7584000000000001,True
mp-27684,formation_energy_per_atom,-0.932556454761906,CSV_Frozen,The formation_energy_per_atom of mp-27684 is -0.932556454761906 eV/atom.,-0.932556454761906,True
mp-27684,band_gap,1.099199999999999,CSV_Frozen,The band gap of mp-27684 is 1.099199999999999 eV.,1.099199999999999,True
mp-1391848,band_gap,2.0863,CSV_Frozen,The band gap of mp-1391848 is 2.0863 eV according to the database.,2.0863,True
mp-541404,formation_energy_per_atom,-2.522468176666668,CSV_Frozen,The formation_energy_per_atom of mp-541404 is -2.522468176666668.,-2.522468176666668,True
mp-1184796,formation_energy_per_atom,-1.406990803749999,CSV_Frozen,The formation_energy_per_atom of mp-1184796 is -1.406990803749999 eV/atom.,-1.406990803749999,True
mp-1184796,band_gap,8.0745,CSV_Frozen,"According to the database, the band gap of mp-1184796 is 8.0745 eV.",8.0745,True
mp-1391848,formation_energy_per_atom,-2.063723397142856,CSV_Frozen,The formation_energy_per_atom of mp-1391848 is -2.063723397142856 eV/atom.,-2.063723397142856,True
mp-540922,band_gap,0.1806,CSV_Frozen,The band gap of mp-540922 is 0.1806 eV.,0.1806,True
mp-9268,band_gap,0.7039000000000001,CSV_Frozen,The band gap of mp-9268 is 0.7039 eV.,0.7039000000000001,True
mp-9268,formation_energy_per_atom,-1.167954419796875,CSV_Frozen,The formation energy per atom of mp-9268 is -1.167954419796875 eV/atom.,-1.167954419796875,True
mp-540675,band_gap,3.0664,CSV_Frozen,The band gap of mp-540675 is 3.0664 eV.,3.0664,True
mp-540922,formation_energy_per_atom,-0.450521733124998,CSV_Frozen,The formation energy per atom of mp-540922 is -0.450521733124998 eV/atom.,-0.450521733124998,True
mp-571235,band_gap,2.021,CSV_Frozen,The band gap of mp-571235 is 2.021 eV.,2.021,True
mp-540675,formation_energy_per_atom,-0.349825507562499,CSV_Frozen,The formation energy per atom of mp-540675 is -0.349825507562499 eV/atom.,-0.349825507562499,True
mp-1208424,band_gap,2.5242,CSV_Frozen,The band gap of mp-1208424 is 2.5242 eV.,2.5242,True
mp-27971,band_gap,5.0865,CSV_Frozen,The band gap of mp-27971 is 5.0865 eV.,5.0865,True
mp-1208424,formation_energy_per_atom,-0.812674219083331,CSV_Frozen,The formation_energy_per_atom of mp-1208424 is -0.812674219083331 eV/atom.,-0.812674219083331,True
mp-571235,formation_energy_per_atom,-1.227871009333331,CSV_Frozen,The formation_energy_per_atom of mp-571235 is -1.227871009333331.,-1.227871009333331,True
mp-22909,band_gap,4.0533,CSV_Frozen,The band gap of mp-22909 is 4.0533 eV.,4.0533,True
mp-27971,formation_energy_per_atom,-2.788094297499999,CSV_Frozen,The formation energy per atom of mp-27971 is -2.788094297499999 eV/atom.,-2.788094297499999,True
mp-556516,band_gap,0.7668,CSV_Frozen,The band gap of mp-556516 is 0.7668 eV.,0.7668,True
mp-21526,formation_energy_per_atom,-0.362189247187497,CSV_Frozen,The formation energy per atom of mp-21526 is -0.362189247187497 eV/atom.,-0.362189247187497,True
mp-22909,formation_energy_per_atom,-1.291011926666667,CSV_Frozen,The formation energy per atom of mp-22909 is -1.291011926666667 eV/atom.,-1.291011926666667,True
mp-556516,formation_energy_per_atom,-0.505116372129634,CSV_Frozen,The formation_energy_per_atom of mp-556516 is -0.505116372129634 eV/atom.,-0.505116372129634,True
mp-21526,band_gap,0.5708000000000001,CSV_Frozen,The band gap of mp-21526 is 0.5708 eV.,0.5708000000000001,True
mp-1274279,band_gap,1.8157,CSV_Frozen,The database value for the band_gap of mp-1274279 is 1.8157 eV.,1.8157,True
mp-1274279,formation_energy_per_atom,-1.481519387499999,CSV_Frozen,The formation energy per atom of mp-1274279 is -1.481519387499999 eV/atom.,-1.481519387499999,True
mp-554855,band_gap,1.5712000000000002,CSV_Frozen,The band gap of mp-554855 is 1.5712 eV.,1.5712000000000002,True
mp-510557,band_gap,4.2395,CSV_Frozen,The band gap of mp-510557 is 4.2395 eV.,4.2395,True
mp-510557,formation_energy_per_atom,-0.216854790312499,CSV_Frozen,The formation_energy_per_atom of mp-510557 is -0.216854790312499 eV/atom.,-0.216854790312499,True
mp-554855,formation_energy_per_atom,-2.60675029,CSV_Frozen,The formation_energy_per_atom of mp-554855 is -2.60675029 eV/atom.,-2.60675029,True
mp-568348,band_gap,1.8454,CSV_Frozen,The band gap of mp-568348 is 1.8454 eV.,1.8454,True
mp-27291,formation_energy_per_atom,-2.149853655000001,CSV_Frozen,The formation_energy_per_atom of mp-27291 is -2.149853655000001 eV/atom.,-2.149853655000001,True
mp-27291,band_gap,0.155399999999999,CSV_Frozen,The band gap of mp-27291 is 0.1554 eV.,0.155399999999999,True
mp-568348,formation_energy_per_atom,0.0,CSV_Frozen,The formation_energy_per_atom of mp-568348 is 0.0 eV/atom.,0.0,True
mp-2084,band_gap,0.9437999999999992,CSV_Frozen,The band gap of mp-2084 is 0.9437999999999992 eV.,0.9437999999999992,True
mp-995393,band_gap,2.1989,CSV_Frozen,The band gap of mp-995393 is 2.1989 eV.,2.1989,True
mp-1345,band_gap,0.3443,CSV_Frozen,The band gap of mp-1345 is 0.3443 eV.,0.3443,True
mp-995393,formation_energy_per_atom,-0.612184769666665,CSV_Frozen,The formation_energy_per_atom of mp-995393 is -0.612184769666665 eV/atom.,-0.612184769666665,True
mp-2084,formation_energy_per_atom,-0.6734596323437501,CSV_Frozen,The formation_energy_per_atom of mp-2084 is -0.6734596323437501.,-0.6734596323437501,True
mp-1345,formation_energy_per_atom,-1.2564584531547611,CSV_Frozen,The formation_energy_per_atom of mp-1345 is -1.2564584531547611 eV per atom.,-1.2564584531547611,True
mp-29657,band_gap,0.665199999999999,CSV_Frozen,The band_gap of mp-29657 is 0.665199999999999 eV.,0.665199999999999,True
mp-1193140,band_gap,1.8661999999999992,CSV_Frozen,The band gap of mp-1193140 is 1.8661999999999992 eV according to the database.,1.8661999999999992,True
mp-1193140,formation_energy_per_atom,-0.743681253794641,CSV_Frozen,The formation energy per atom of mp-1193140 is -0.743681253794641 eV/atom.,-0.743681253794641,True
mp-29657,formation_energy_per_atom,-0.214525574374999,CSV_Frozen,The formation energy per atom of mp-29657 is -0.214525574374999 eV/atom.,-0.214525574374999,True
mp-23265,formation_energy_per_atom,-2.506313930624998,CSV_Frozen,The formation_energy_per_atom of mp-23265 is -2.506313930624998 eV/atom.,-2.506313930624998,True
mp-23265,band_gap,2.0054,CSV_Frozen,The band gap of mp-23265 is 2.0054 eV.,2.0054,True
mp-542812,band_gap,1.0066,CSV_Frozen,The band gap of mp-542812 is 1.0066 eV.,1.0066,True
mp-542812,formation_energy_per_atom,-0.442993200833332,CSV_Frozen,The formation_energy_per_atom of mp-542812 is -0.442993200833332 eV/atom.,-0.442993200833332,True
mp-10802,band_gap,0.5879000000000001,CSV_Frozen,The band gap of mp-10802 is 0.5879 eV.,0.5879000000000001,True
mp-27725,band_gap,2.0942,CSV_Frozen,The band gap of mp-27725 is 2.0942 eV.,2.0942,True
mp-1080428,band_gap,0.8728,CSV_Frozen,The band gap of mp-1080428 is 0.8728 eV.,0.8728,True
mp-27725,formation_energy_per_atom,-0.265866406249999,CSV_Frozen,The formation_energy_per_atom of mp-27725 is -0.265866406249999 eV/atom.,-0.265866406249999,True
mp-1080428,formation_energy_per_atom,-1.326321304000006,CSV_Frozen,The formation energy per atom of mp-1080428 is -1.326321304000006 eV/atom.,-1.326321304000006,True
mp-569561,formation_energy_per_atom,-0.639768098499999,CSV_Frozen,The formation_energy_per_atom of mp-569561 is -0.639768098499999.,-0.639768098499999,True
mp-569561,band_gap,3.1165,CSV_Frozen,The band gap of mp-569561 is 3.1165 eV.,3.1165,True
mp-484,band_gap,0.4326,CSV_Frozen,The band gap of mp-484 is 0.4326 eV.,0.4326,True
mp-10802,formation_energy_per_atom,-0.417557193125,CSV_Frozen,The formation energy per atom of mp-10802 is -0.417557193125 eV/atom.,-0.417557193125,True
mp-743,formation_energy_per_atom,-0.140204309375,CSV_Frozen,The formation energy per atom of mp-743 is -0.140204309375 eV/atom.,-0.140204309375,True
mp-484,formation_energy_per_atom,-0.001508734,CSV_Frozen,The formation energy per atom of mp-484 is -0.001508734 eV/atom.,-0.001508734,True
mp-1864,band_gap,0.1139,CSV_Frozen,The band gap of mp-1864 is 0.1139 eV.,0.1139,True
mp-743,band_gap,4.1608,CSV_Frozen,The band gap of mp-743 is 4.1608 eV.,4.1608,True
mp-1864,formation_energy_per_atom,-0.678575252480158,CSV_Frozen,The formation energy per atom of mp-1864 is -0.678575252480158 eV/atom.,-0.678575252480158,True
mp-30520,band_gap,1.667899999999999,CSV_Frozen,The band gap of mp-30520 is 1.667899999999999 eV.,1.667899999999999,True
mp-30520,formation_energy_per_atom,-0.498485183452379,CSV_Frozen,The formation_energy_per_atom of mp-30520 is -0.498485183452379 eV/atom.,-0.498485183452379,True
mp-149,band_gap,0.6105,CSV_Frozen,The band gap of mp-149 is 0.6105 eV.,0.6105,True
mp-23221,formation_energy_per_atom,-2.306216135416666,CSV_Frozen,The formation energy per atom of mp-23221 is -2.306216135416666 eV/atom.,-2.306216135416666,True
mp-23221,band_gap,3.429599999999999,CSV_Frozen,The band gap of mp-23221 is 3.4296 eV.,3.429599999999999,True
mp-1863,formation_energy_per_atom,-0.119684392083333,CSV_Frozen,The formation energy per atom of mp-1863 is -0.119684392083333 eV/atom.,-0.119684392083333,True
mp-149,formation_energy_per_atom,0.0,CSV_Frozen,The formation_energy_per_atom of mp-149 is 0.0 eV/atom.,0.0,True
mp-1863,band_gap,1.451899999999999,CSV_Frozen,The band gap of mp-1863 is 1.4519 eV.,1.451899999999999,True
mp-1524446,formation_energy_per_atom,-1.452075918750001,CSV_Frozen,The formation_energy_per_atom of mp-1524446 is -1.452075918750001 eV/atom.,-1.452075918750001,True
mp-1524446,band_gap,1.0487,CSV_Frozen,The band gap of mp-1524446 is 1.0487 eV.,1.0487,True
mp-730101,formation_energy_per_atom,0.0,CSV_Frozen,The formation energy per atom for mp-730101 is 0.0 eV/atom.,0.0,True
mp-730101,band_gap,9.7197,CSV_Frozen,The band gap of mp-730101 is 9.7197 eV.,9.7197,True
mp-573812,band_gap,1.4052,CSV_Frozen,The database lists the band gap of mp-573812 as 1.4052 eV.,1.4052,True
mp-31049,formation_energy_per_atom,-3.159657924166664,CSV_Frozen,The formation_energy_per_atom of mp-31049 is -3.159657924166664 eV per atom.,-3.159657924166664,True
mp-31049,band_gap,3.4112,CSV_Frozen,The band gap of mp-31049 is 3.4112 eV.,3.4112,True
