material_id,gt_band_gap,input_missing,pred_band_gap_eV,label,detail,latency_s
mp-23189,2.6901,band_gap,,ok_abstain,,0.7439851760864258
mp-23218,2.2375,band_gap,,ok_abstain,,1.0231432914733887
mp-23221,3.429599999999999,band_gap,,ok_abstain,,0.9605410099029541
mp-23280,3.9873,band_gap,,ok_abstain,,0.9827840328216553
mp-25469,5.263,band_gap,,ok_abstain,,1.0447471141815186
mp-2659,3.6364,band_gap,,ok_abstain,,0.9813752174377441
mp-27148,0.836199999999999,band_gap,,ok_abstain,,0.8545989990234375
mp-27153,0.2115,band_gap,,ok_abstain,,0.907116174697876
mp-27194,1.7061000000000002,band_gap,,ok_abstain,,0.7210981845855713
mp-27455,4.9301,band_gap,,ok_abstain,,0.9211587905883789
mp-2752817,1.1679,band_gap,,ok_abstain,,0.5915651321411133
mp-27747,0.9294,band_gap,,ok_abstain,,0.8387010097503662
mp-27871,1.2584,band_gap,,ok_abstain,,0.919910192489624
mp-27972,4.103299999999999,band_gap,,ok_abstain,,1.0251929759979248
mp-28268,0.3481,band_gap,,ok_abstain,,0.9224951267242432
mp-28391,5.5658,band_gap,,ok_abstain,,0.8395659923553467
mp-2843,3.2704,band_gap,,ok_abstain,,1.2083067893981934
mp-288,0.3848,band_gap,,ok_abstain,,0.9201529026031494
mp-30033,0.1072,band_gap,,ok_abstain,,0.9221389293670654
mp-30282,0.1718,band_gap,,ok_abstain,,0.9920251369476318
mp-30520,1.667899999999999,band_gap,,ok_abstain,,0.9500472545623779
mp-306,6.3017,band_gap,,ok_abstain,,1.0243237018585205
mp-30930,3.2639,band_gap,,ok_abstain,,0.9188838005065918
mp-30952,4.1775,band_gap,,ok_abstain,,0.716083288192749
mp-31104,0.4308,band_gap,,ok_abstain,,0.7673382759094238
mp-31134,0.9465,band_gap,,ok_abstain,,0.805239200592041
mp-32780,1.674399999999999,band_gap,,ok_abstain,,0.866520881652832
mp-34202,0.3388,band_gap,,ok_abstain,,0.8366250991821289
mp-384,0.7289000000000001,band_gap,,ok_abstain,,0.9393129348754883
mp-468,7.6012,band_gap,,ok_abstain,,0.9072661399841309
mp-540675,3.0664,band_gap,,ok_abstain,,0.7875542640686035
mp-556560,0.4936,band_gap,,ok_abstain,,0.825667142868042
mp-556911,1.6921,band_gap,,ok_abstain,,0.843801736831665
mp-567504,1.5182,band_gap,,ok_abstain,,0.818673849105835
mp-568263,1.2121,band_gap,,ok_abstain,,0.9180011749267578
mp-568348,1.8454,band_gap,,ok_abstain,,1.0234708786010742
mp-569059,2.3487,band_gap,,ok_abstain,,0.9238479137420654
mp-569175,3.6058,band_gap,,ok_abstain,,0.5987341403961182
mp-569766,0.7871,band_gap,,ok_abstain,,0.6959178447723389
mp-569867,0.378,band_gap,,ok_abstain,,0.8877148628234863
mp-570081,1.6471,band_gap,,ok_abstain,,0.850877046585083
mp-572892,2.2646,band_gap,,ok_abstain,,0.9475929737091064
mp-573812,1.4052,band_gap,,ok_abstain,,0.8096728324890137
mp-573815,0.9469999999999992,band_gap,,ok_abstain,,1.0457470417022705
mp-647579,3.2214,band_gap,,ok_abstain,,0.9220590591430664
mp-680580,0.248,band_gap,,ok_abstain,,0.8187410831451416
mp-6949,4.0226,band_gap,,ok_abstain,,1.023144006729126
mp-726,3.2874,band_gap,,ok_abstain,,0.9749541282653809
mp-7440,0.8684000000000001,band_gap,,ok_abstain,,1.0730321407318115
mp-754815,3.976499999999999,band_gap,,ok_abstain,,1.228287935256958
mp-856,0.6519,band_gap,,ok_abstain,,0.8542001247406006
mp-862901,4.774199999999999,band_gap,,ok_abstain,,0.8786849975585938
mp-865194,5.3798,band_gap,,ok_abstain,,0.8812129497528076
mp-878,1.4612999999999992,band_gap,,ok_abstain,,0.7614719867706299
mp-886,2.007799999999999,band_gap,,ok_abstain,,0.7160539627075195
mp-9268,0.7039000000000001,band_gap,,ok_abstain,,0.7438158988952637
mp-976280,4.9348,band_gap,,ok_abstain,,0.9409370422363281
mp-985829,1.2237,band_gap,,ok_abstain,,1.4172720909118652
