material_id,band_gap,formation_energy_per_atom
mp-510557,4.2395,-0.216854790312499
mp-27291,0.155399999999999,-2.149853655000001
mp-568348,1.8454,0.0
mp-2084,0.9437999999999992,-0.6734596323437501
mp-995393,2.1989,-0.612184769666665
mp-1345,0.3443,-1.2564584531547611
mp-1193140,1.8661999999999992,-0.743681253794641
mp-29657,0.665199999999999,-0.214525574374999
mp-23265,2.0054,-2.506313930624998
mp-542812,1.0066,-0.442993200833332
mp-10802,0.5879000000000001,-0.417557193125
mp-27725,2.0942,-0.265866406249999
mp-1080428,0.8728,-1.326321304000006
mp-569561,3.1165,-0.639768098499999
mp-743,4.1608,-0.140204309375
mp-484,0.4326,-0.001508734
mp-1864,0.1139,-0.678575252480158
mp-30520,1.667899999999999,-0.498485183452379
mp-23221,3.429599999999999,-2.306216135416666
mp-149,0.6105,0.0
mp-1863,1.451899999999999,-0.119684392083333
mp-1524446,1.0487,-1.452075918750001
mp-730101,9.7197,0.0
mp-31049,3.4112,-3.159657924166664
mp-573812,1.4052,-0.28239570742611
mp-1213805,1.159,-0.723041855833334
mp-7188,0.289899999999999,-0.670291663333335
mp-680422,2.9265,-0.215968716874999
mp-1683,0.3979,-1.236771233046873
mp-1100,1.0375,-0.377014445
mp-11054,0.877899999999999,-0.278649864374999
mp-306,6.3017,-2.798056310000001
mp-1018040,2.5765,-1.474296713671875
mp-12957,1.0933,0.0
mp-8377,3.0604,-1.4950600038888862
mp-23933,2.197699999999999,-0.073632082812499
mp-13568,0.3379,-2.015935722708332
mp-571442,3.0417,-1.710965791249998
mp-1154,0.7510000000000001,-0.286120912954541
mp-1524481,8.309,-1.27488559425
mp-27972,4.103299999999999,-2.494519163125
mp-27153,0.2115,-1.76299271
mp-1524458,3.1633,-1.529192906999997
mp-634859,2.7345,-2.206560153333333
mp-468,7.6012,-3.86576940625
mp-559931,1.6025,-3.238528048750001
mp-1206891,1.0096,-0.5667571437499991
mp-1095275,0.4889,-0.009709900654762
mp-1201,0.1314,-0.383199846000002
mp-570437,2.3382,-0.827083558444443
mp-27358,2.9034,-1.022062649955356
mp-754815,3.976499999999999,-2.30537281125
mp-568263,1.2121,-0.69001870828125
mp-1025522,0.6758999999999991,-1.162119996249998
mp-571011,1.7836,-0.975770047431038
mp-28044,4.918,-2.512653630624999
mp-1217322,0.7062,-0.010930726197914
mp-541155,0.9239,-0.9510626574999992
mp-19,0.1856,0.0
mp-22885,2.686199999999999,-0.7818107566666681
mp-20652,1.9078,-2.26442824375
mp-27857,0.9792,-0.694771309999999
mp-985829,1.2237,-1.806995168541668
mp-30034,4.4707,-1.853706801666665
mp-22881,3.5244,-1.2745155149999992
mp-32755,1.0395,-1.857414943749999
mp-2715,0.172299999999999,-0.290117705833334
mp-504759,0.9911,-2.631161137083333
mp-1525121,1.687399999999999,0.0
mp-865194,5.3798,-4.181989037499999
mp-541610,2.597,-0.927984858749999
mp-28933,1.7587000000000002,-0.198695136500001
mp-23205,3.6162,-1.3037782916666671
mp-985831,0.5342,-1.564946299374999
mp-540829,0.710199999999999,-1.872036438333334
mp-1525632,2.8979,0.0
mp-573815,0.9469999999999992,-0.348767611458335
mp-607450,0.229,-0.235972947500002
mp-23162,1.0479,-1.87860569
mp-2402,1.1286,-0.069361268125
mp-9922,1.1326,-1.373804485859373
mp-1545216,0.4836,-0.907728662126436
mp-1968,3.824799999999999,-3.8759289195
mp-29711,0.638899999999999,-0.444227307333335
mp-2133,0.7227,-1.7908991124999991
mp-1185959,1.133699999999999,-1.154441889999999
mp-985278,6.0693,-4.467987469375
mp-23710,3.709699999999999,-0.2827190725
mp-341,1.9022,-1.990905017999998
mp-32800,2.2962,-2.4930635934375
mp-685014,2.0644,-1.068962764541666
mp-559798,4.9116,-2.23065729
mp-1080821,0.7896000000000001,-3.19318655375
mp-540625,1.7063,-0.5793224153125001
mp-1025442,1.3846999999999992,-0.44096969
mp-556911,1.6921,-2.590574678333332
mp-23263,2.9266,-2.423042803749999
mp-16911,1.9539,-0.955290041071428
mp-1705,0.5057,-1.74803409
mp-561197,5.5366,-3.404466658305554
mp-23183,4.299799999999999,-2.585905556250001
mp-23280,3.9873,-0.755685861249999
mp-1524462,2.7061,0.0
mp-706630,3.606099999999999,-0.095264628645833
mp-541837,0.3769,-0.434076935437502
mp-1819,2.028799999999999,-1.839006646249989
mp-7988,0.583199999999999,-1.180246544770117
mp-2049132,0.216299999999999,-0.298604841000002
mp-7943,0.3285,-0.588209097083334
mp-30792,0.1566,-0.269950954999998
mp-352,4.0165,-4.019811040833332
mp-15954,0.2625,-0.5725928316666651
mp-23165,0.8929,-0.6577550981249981
mp-2251,0.984,-0.4825014221875
mp-181,0.216299999999999,-0.1726160249375
mp-2340,1.7361,-1.2980963948563211
mp-1443,3.1684,-2.537928646818182
mp-2697,2.8495,-2.204479133333331
mp-680463,0.391399999999999,-0.157726345384613
mp-542810,1.9674,-0.159580558906249
mp-971787,1.1332,-1.208906696666668
mp-1105,2.2352,-2.170192663333334
