mp_id,tool_value,round1_natural_language,round2_cove_extracted
mp-254,7.6164,The band gap of mp-254 is 7.6164.,7.6164
mp-254,-4.452365858958333,The formation energy per atom for mp-254 is -4.452365858958333.,-4.452365858958333
mp-18299,0.2155,The band gap of mp-18299 is 0.2155.,0.2155
mp-18299,-3.992617684583336,The formation energy per atom for mp-18299 is -3.992617684583336.,-3.992617684583336
mp-23185,2.8624,The band gap of mp-23185 is 2.8624.,2.8624
mp-23185,-0.857616325999999,The formation energy per atom for mp-23185 is -0.857616325999999.,-0.857616325999999
mp-23290,1.7917,The band gap of mp-23290 is 1.7917.,1.7917
mp-23290,-0.475064009999998,The formation energy per atom for mp-23290 is -0.475064009999998.,-0.475064009999998
mp-30031,3.8971,The band gap of mp-30031 is 3.8971.,3.8971
mp-30031,-1.89441126,The formation energy per atom for mp-30031 is -1.89441126.,-1.89441126
mp-555908,2.2721,The band gap of mp-555908 is 2.2721.,2.2721
mp-555908,-2.341685073333334,The formation energy per atom for mp-555908 is -2.341685073333334.,-2.341685073333334
mp-22398,3.1061,The band gap of mp-22398 is 3.1061.,3.1061
mp-22398,-2.648772015416667,The formation energy per atom for mp-22398 is -2.648772015416667.,-2.648772015416667
mp-27628,1.3552,The band gap of mp-27628 is 1.3552.,1.3552
mp-27628,-0.3329571455,The formation energy per atom for mp-27628 is -0.3329571455.,-0.3329571455
mp-1212833,0.3912,The band gap of mp-1212833 is 0.3912.,0.3912
mp-1212833,-0.299415060454546,The formation energy per atom for mp-1212833 is -0.299415060454546.,-0.299415060454546
mp-571518,1.9169,The band gap of mp-571518 is 1.9169.,1.9169
mp-571518,-0.946381717857144,The formation energy per atom for mp-571518 is -0.946381717857144.,-0.946381717857144
mp-9852,0.1259,The band gap of mp-9852 is 0.1259.,0.1259
mp-9852,-0.616732226646824,The formation energy per atom for mp-9852 is -0.616732226646824.,-0.616732226646824
mp-34202,0.3388,The band gap of mp-34202 is 0.3388.,0.3388
mp-34202,-0.274401004000003,The formation energy per atom for mp-34202 is -0.274401004000003.,-0.274401004000003
mp-570796,1.537399999999999,The band gap of mp-570796 is 1.5374 eV.,1.5374
mp-570796,-0.7330447383333331,The formation energy per atom for mp-570796 is -0.7330447383333331.,-0.7330447383333331
mp-1195,1.8930999999999991,The band gap of mp-1195 is 1.893 eV.,1.893
mp-1195,-0.50608046735294,The formation energy per atom for mp-1195 is -0.50608046735294.,-0.50608046735294
mp-672204,0.378699999999999,The band gap of mp-672204 is 0.3787 eV.,0.3787
mp-672204,-0.400380674374999,The formation energy per atom for mp-672204 is -0.400380674374999.,-0.400380674374999
mp-29179,3.1002,The band gap of mp-29179 is 3.1002.,3.1002
mp-29179,-1.055039141666666,The formation energy per atom for mp-29179 is -1.055039141666666.,-1.055039141666666
mp-1205121,0.2452,The band gap of mp-1205121 is 0.2452.,0.2452
mp-1205121,-0.510760389375001,The formation energy per atom for mp-1205121 is -0.510760389375001.,-0.510760389375001
mp-10497,2.2919,The band gap of mp-10497 is 2.2919.,2.2919
mp-10497,-0.127321634999998,The formation energy per atom for mp-10497 is -0.127321634999998.,-0.127321634999998
mp-27148,0.836199999999999,The band gap of mp-27148 is 0.836199999999999.,0.8362
mp-27148,-0.319383066011903,The formation energy per atom for mp-27148 is -0.319383066011903.,-0.319383066011903
mp-1545417,0.7358999999999991,The band gap of mp-1545417 is 0.7358999999999991.,0.7358999999999991
mp-1545417,-1.718154452499998,The formation energy per atom for mp-1545417 is -1.718154452499998.,-1.718154452499998
mp-1203760,1.0648,The band gap of mp-1203760 is 1.0648.,1.0648
mp-1203760,-0.553621656590911,The formation energy per atom for mp-1203760 is -0.553621656590911.,-0.553621656590911
mp-470,1.2157,The band gap of mp-470 is 1.2157.,1.2157
mp-470,-2.156655663333334,The formation energy per atom for mp-470 is -2.156655663333334.,-2.156655663333334
mp-16922,0.3248,The band gap of mp-16922 is 0.3248.,0.3248
mp-16922,-0.962356391249998,The formation energy per atom for mp-16922 is -0.962356391249998.,-0.962356391249998
mp-624,2.6454,The band gap of mp-624 is 2.6454.,2.6454
mp-624,-0.209188941071428,The formation energy per atom for mp-624 is -0.209188941071428.,-0.209188941071428
mp-22859,1.6513,The band gap of mp-22859 is 1.6513.,1.6513
mp-22859,-0.443566703750002,The formation energy per atom for mp-22859 is -0.443566703750002.,-0.443566703750002
mp-31050,3.6753,The band gap of mp-31050 is 3.6753.,3.6753
mp-31050,-0.30258604611111,The formation energy per atom for mp-31050 is -0.30258604611111.,-0.30258604611111
mp-541013,1.0859,The band gap of mp-541013 is 1.0859.,1.0859
mp-541013,-1.031189425666664,The formation energy per atom for mp-541013 is -1.031189425666664.,-1.031189425666664
mp-18536,0.208499999999999,The band gap of mp-18536 is 0.2085 eV.,0.2085
mp-18536,-1.128947433749999,The formation energy per atom for mp-18536 is -1.128947433749999.,-1.128947433749999
mp-200,0.861699999999999,The band gap of mp-200 is 0.8617 eV.,0.8617
mp-200,-0.514802012604166,The formation energy per atom for mp-200 is -0.514802012604166.,-0.514802012604166
mp-23261,2.7278,The band gap of mp-23261 is 2.7278.,2.7278
mp-23261,-0.7564620653571411,The formation energy per atom for mp-23261 is -0.7564620653571411.,-0.7564620653571411
mp-7440,0.8684000000000001,The band gap of mp-7440 is 0.8684 eV.,0.8684
mp-7440,-0.499863119613094,The formation energy per atom for mp-7440 is -0.499863119613094.,-0.499863119613094
mp-569867,0.378,The band gap of mp-569867 is 0.378.,0.378
mp-569867,-0.7546754528571421,The formation energy per atom for mp-569867 is -0.7546754528571421.,-0.7546754528571421
mp-1205852,0.8523000000000001,The band gap of mp-1205852 is 0.8523 eV.,0.8523
mp-1205852,-2.094997655499997,The formation energy per atom for mp-1205852 is -2.095 eV/atom.,-2.095
mp-28483,1.069899999999999,The band gap of mp-28483 is 1.0699 eV.,1.0699
mp-28483,-0.9345107228571432,The formation energy per atom for mp-28483 is -0.9345107228571432.,-0.9345107228571432
mp-561664,4.0186,The band gap of mp-561664 is 4.0186.,4.0186
mp-561664,-2.216336207,The formation energy per atom for mp-561664 is -2.216336207.,-2.216336207
mp-27871,1.2584,The band gap of mp-27871 is 1.2584.,1.2584
mp-27871,-0.8457965725000001,The formation energy per atom for mp-27871 is -0.8457965725.,-0.8457965725
mp-680339,0.755599999999999,The band gap of mp-680339 is 0.7556 eV.,0.7556
mp-680339,-0.28327900617555,The formation energy per atom for mp-680339 is -0.28327900617555.,-0.28327900617555
mp-582753,0.8007000000000001,The band gap of mp-582753 is 0.8007 eV.,0.8007
mp-582753,-0.434993182323239,The formation energy per atom for mp-582753 is -0.434993182323239.,-0.434993182323239
mp-30092,3.4576,The band gap of mp-30092 is 3.4576.,3.4576
mp-30092,-1.725360933333334,The formation energy per atom for mp-30092 is -1.725360933333334.,-1.725360933333334
mp-27161,2.9118,The band gap of mp-27161 is 2.9118.,2.9118
mp-27161,-0.8721765856249991,The formation energy per atom for mp-27161 is -0.8721765856249991.,-0.8721765856249991
mp-1018138,1.037,The band gap of mp-1018138 is 1.037.,1.037
mp-1018138,-0.7411700000000001,The formation energy per atom for mp-1018138 is -0.7411700000000001.,-0.7411700000000001
mp-23155,8.5132,The band gap of mp-23155 is 8.5132.,8.5132
mp-23155,0.0,The formation energy per atom for mp-23155 is 0.0.,0.0
mp-1197742,0.8515,The band gap of mp-1197742 is 0.8515.,0.8515
mp-1197742,-0.327354584285715,The formation energy per atom for mp-1197742 is -0.327354584285715.,-0.327354584285715
mp-647579,3.2214,The band gap of mp-647579 is 3.2214.,3.2214
mp-647579,-1.267659339375001,The formation energy per atom for mp-647579 is -1.267659339375001.,-1.267659339375001
mp-15649,0.8155000000000001,The band gap of mp-15649 is 0.8155 eV.,0.8155
mp-15649,-0.571072849166668,The formation energy per atom for mp-15649 is -0.571072849166668.,-0.571072849166668
mp-557993,1.1596,The band gap of mp-557993 is 1.1596.,1.1596
mp-557993,-1.459764126666667,The formation energy per atom for mp-557993 is -1.459764126666667.,-1.459764126666667
mp-7904,0.6551,The band gap of mp-7904 is 0.6551.,0.6551
mp-7904,-0.120742532380951,The formation energy per atom for mp-7904 is -0.120742532380951.,-0.120742532380951
mp-570738,2.4744,The band gap of mp-570738 is 2.4744.,2.4744
mp-570738,-0.727731253611111,The formation energy per atom for mp-570738 is -0.727731253611111.,-0.727731253611111
mp-628742,0.5845,The band gap of mp-628742 is 0.5845.,0.5845
mp-628742,-0.486485566153847,The formation energy per atom for mp-628742 is -0.486485566153847.,-0.486485566153847
mp-1204356,1.8389,The band gap of mp-1204356 is 1.8389.,1.8389
mp-1204356,-0.305946444868422,The formation energy per atom for mp-1204356 is -0.305946444868422.,-0.305946444868422
mp-7262,0.224099999999999,The band gap of mp-7262 is 0.224099999999999.,0.224
mp-7262,-0.148990749583333,The formation energy per atom for mp-7262 is -0.148990749583333.,-0.148990749583333
mp-28879,1.1418,The band gap of mp-28879 is 1.1418.,1.1418
mp-28879,-1.057331754908424,The formation energy per atom for mp-28879 is -1.057331754908424.,-1.057331754908424
mp-27684,1.099199999999999,The band gap of mp-27684 is 1.099199999999999.,1.099199999999999
mp-27684,-0.932556454761906,The formation energy per atom for mp-27684 is -0.932556454761906.,-0.932556454761906
mp-541404,0.7584000000000001,The band gap of mp-541404 is 0.7584 eV.,0.7584
mp-541404,-2.522468176666668,The formation energy per atom for mp-541404 is -2.522468176666668.,-2.522468176666668
mp-1391848,2.0863,The band gap of mp-1391848 is 2.0863.,2.0863
mp-1391848,-2.063723397142856,The formation energy per atom for mp-1391848 is -2.063723397142856.,-2.063723397142856
mp-1184796,8.0745,The band gap of mp-1184796 is 8.0745.,8.0745
mp-1184796,-1.406990803749999,The formation energy per atom for mp-1184796 is -1.406990803749999.,-1.406990803749999
mp-9268,0.7039000000000001,The band gap of mp-9268 is 0.7039 eV.,0.7039
mp-9268,-1.167954419796875,The formation energy per atom for mp-9268 is -1.167954419796875.,-1.167954419796875
mp-540922,0.1806,The band gap of mp-540922 is 0.1806.,0.1806
mp-540922,-0.450521733124998,The formation energy per atom for mp-540922 is -0.450521733124998.,-0.450521733124998
mp-540675,3.0664,The band gap of mp-540675 is 3.0664.,3.0664
mp-540675,-0.349825507562499,The formation energy per atom for mp-540675 is -0.349825507562499.,-0.349825507562499
mp-571235,2.021,The band gap of mp-571235 is 2.021.,2.021
mp-571235,-1.227871009333331,The formation energy per atom for mp-571235 is -1.227871009333331.,-1.227871009333331
mp-1208424,2.5242,The band gap of mp-1208424 is 2.5242.,2.5242
mp-1208424,-0.812674219083331,The formation energy per atom for mp-1208424 is -0.812674219083331.,-0.812674219083331
mp-27971,5.0865,The band gap of mp-27971 is 5.0865.,5.0865
mp-27971,-2.788094297499999,The formation energy per atom for mp-27971 is -2.788094297499999.,-2.788094297499999
mp-22909,4.0533,The band gap of mp-22909 is 4.0533.,4.0533
mp-22909,-1.291011926666667,The formation energy per atom for mp-22909 is -1.291011926666667.,-1.291011926666667
mp-556516,0.7668,The band gap of mp-556516 is 0.7668.,0.7668
mp-556516,-0.505116372129634,The formation energy per atom for mp-556516 is -0.505116372129634.,-0.505116372129634
mp-21526,0.5708000000000001,The band gap of mp-21526 is 0.5708 eV.,0.5708
mp-21526,-0.362189247187497,The formation energy per atom for mp-21526 is -0.362189247187497.,-0.362189247187497
mp-1274279,1.8157,The band gap of mp-1274279 is 1.8157.,1.8157
mp-1274279,-1.481519387499999,The formation energy per atom for mp-1274279 is -1.481519387499999.,-1.481519387499999
mp-554855,1.5712000000000002,The band gap of mp-554855 is 1.5712 eV.,1.5712
mp-554855,-2.60675029,The formation energy per atom for mp-554855 is -2.60675029.,-2.60675029
mp-510557,4.2395,The band gap of mp-510557 is 4.2395.,4.2395
mp-510557,-0.216854790312499,The formation energy per atom for mp-510557 is -0.216854790312499.,-0.216854790312499
mp-27291,0.155399999999999,The band gap of mp-27291 is 0.1554 eV.,0.1554
mp-27291,-2.149853655000001,The formation energy per atom for mp-27291 is -2.149853655000001.,-2.149853655000001
mp-568348,1.8454,The band gap of mp-568348 is 1.8454.,1.8454
mp-568348,0.0,The formation energy per atom for mp-568348 is 0.0.,0.0
mp-2084,0.9437999999999992,The band gap of mp-2084 is 0.9438 eV.,0.9438
mp-2084,-0.6734596323437501,The formation energy per atom for mp-2084 is -0.6734596323437501.,-0.6734596323437501
mp-995393,2.1989,The band gap of mp-995393 is 2.1989.,2.1989
mp-995393,-0.612184769666665,The formation energy per atom for mp-995393 is -0.612184769666665.,-0.612184769666665
mp-1345,0.3443,The band gap of mp-1345 is 0.3443.,0.3443
mp-1345,-1.2564584531547611,The formation energy per atom for mp-1345 is -1.2564584531547611.,-1.2564584531547611
mp-1193140,1.8661999999999992,The band gap of mp-1193140 is 1.8661999999999992.,1.8661999999999992
mp-1193140,-0.743681253794641,The formation energy per atom for mp-1193140 is -0.743681253794641.,-0.743681253794641
mp-29657,0.665199999999999,The band gap of mp-29657 is 0.665 eV.,0.665
mp-29657,-0.214525574374999,The formation energy per atom for mp-29657 is -0.214525574374999.,-0.214525574374999
mp-23265,2.0054,The band gap of mp-23265 is 2.0054.,2.0054
mp-23265,-2.506313930624998,The formation energy per atom for mp-23265 is -2.506313930624998.,-2.506313930624998
mp-542812,1.0066,The band gap of mp-542812 is 1.0066.,1.0066
mp-542812,-0.442993200833332,The formation energy per atom for mp-542812 is -0.442993200833332.,-0.442993200833332
mp-10802,0.5879000000000001,The band gap of mp-10802 is 0.5879 eV.,0.5879
mp-10802,-0.417557193125,The formation energy per atom for mp-10802 is -0.417557193125.,-0.417557193125
mp-27725,2.0942,The band gap of mp-27725 is 2.0942.,2.0942
mp-27725,-0.265866406249999,The formation energy per atom for mp-27725 is -0.265866406249999.,-0.265866406249999
mp-1080428,0.8728,The band gap of mp-1080428 is 0.8728.,0.8728
mp-1080428,-1.326321304000006,The formation energy per atom for mp-1080428 is -1.326321304000006.,-1.326321304000006
mp-569561,3.1165,The band gap of mp-569561 is 3.1165.,3.1165
mp-569561,-0.639768098499999,The formation energy per atom for mp-569561 is -0.639768098499999.,-0.639768098499999
mp-743,4.1608,The band gap of mp-743 is 4.1608.,4.1608
mp-743,-0.140204309375,The formation energy per atom for mp-743 is -0.140204309375.,-0.140204309375
mp-484,0.4326,The band gap of mp-484 is 0.4326.,0.4326
mp-484,-0.001508734,The formation energy per atom for mp-484 is -0.001508734.,-0.001508734
mp-1864,0.1139,The band gap of mp-1864 is 0.1139.,0.1139
mp-1864,-0.678575252480158,The formation energy per atom for mp-1864 is -0.678575252480158.,-0.678575252480158
mp-30520,1.667899999999999,The band gap of mp-30520 is 1.6679 eV.,1.6679
mp-30520,-0.498485183452379,The formation energy per atom for mp-30520 is -0.498485183452379.,-0.498485183452379
mp-23221,3.429599999999999,The band gap of mp-23221 is 3.429599999999999.,3.4296
mp-23221,-2.306216135416666,The formation energy per atom for mp-23221 is -2.306216135416666.,-2.306216135416666
mp-149,0.6105,The band gap of mp-149 is 0.6105.,0.6105
mp-149,0.0,The formation energy per atom for mp-149 is 0.0.,0.0
mp-1863,1.451899999999999,The band gap of mp-1863 is 1.4519 eV.,1.4519
mp-1863,-0.119684392083333,The formation energy per atom for mp-1863 is -0.119684392083333.,-0.119684392083333
mp-1524446,1.0487,The band gap of mp-1524446 is 1.0487.,1.0487
mp-1524446,-1.452075918750001,The formation energy per atom for mp-1524446 is -1.452075918750001.,-1.452075918750001
mp-730101,9.7197,The band gap of mp-730101 is 9.7197.,9.7197
mp-730101,0.0,The formation energy per atom for mp-730101 is 0.0.,0.0
mp-31049,3.4112,The band gap of mp-31049 is 3.4112.,3.4112
mp-31049,-3.159657924166664,The formation energy per atom for mp-31049 is -3.159657924166664.,-3.159657924166664
mp-573812,1.4052,The band gap of mp-573812 is 1.4052.,1.4052
mp-573812,-0.28239570742611,The formation energy per atom for mp-573812 is -0.28239570742611.,-0.28239570742611
mp-1213805,1.159,The band gap of mp-1213805 is 1.159.,1.159
mp-1213805,-0.723041855833334,The formation energy per atom for mp-1213805 is -0.723041855833334.,-0.723041855833334
mp-7188,0.289899999999999,The band gap of mp-7188 is 0.2899 eV.,0.2899
mp-7188,-0.670291663333335,The formation energy per atom for mp-7188 is -0.670291663333335.,-0.670291663333335
mp-680422,2.9265,The band gap of mp-680422 is 2.9265.,2.9265
mp-680422,-0.215968716874999,The formation energy per atom for mp-680422 is -0.215968716874999.,-0.215968716874999
mp-1683,0.3979,The band gap of mp-1683 is 0.3979.,0.3979
mp-1683,-1.236771233046873,The formation energy per atom for mp-1683 is -1.236771233046873.,-1.236771233046873
mp-1100,1.0375,The band gap of mp-1100 is 1.0375.,1.0375
mp-1100,-0.377014445,The formation energy per atom for mp-1100 is -0.377014445.,-0.377014445
mp-11054,0.877899999999999,The band gap of mp-11054 is 0.8779 eV.,0.8779
mp-11054,-0.278649864374999,The formation energy per atom for mp-11054 is -0.278649864374999.,-0.278649864374999
mp-306,6.3017,The band gap of mp-306 is 6.3017.,6.3017
mp-306,-2.798056310000001,The formation energy per atom for mp-306 is -2.798056310000001.,-2.798056310000001
mp-1018040,2.5765,The band gap of mp-1018040 is 2.5765.,2.5765
mp-1018040,-1.474296713671875,The formation energy per atom for mp-1018040 is -1.474296713671875.,-1.474296713671875
mp-12957,1.0933,The band gap of mp-12957 is 1.0933.,1.0933
mp-12957,0.0,The formation energy per atom for mp-12957 is 0.0.,0.0
mp-8377,3.0604,The band gap of mp-8377 is 3.0604.,3.0604
mp-8377,-1.4950600038888862,The formation energy per atom for mp-8377 is -1.4950600038888862.,-1.4950600038888862
mp-23933,2.197699999999999,The band gap of mp-23933 is 2.1977 eV.,2.1977
mp-23933,-0.073632082812499,The formation energy per atom for mp-23933 is -0.073632082812499.,-0.073632082812499
mp-13568,0.3379,The band gap of mp-13568 is 0.3379.,0.3379
mp-13568,-2.015935722708332,The formation energy per atom for mp-13568 is -2.015935722708332.,-2.015935722708332
mp-571442,3.0417,The band gap of mp-571442 is 3.0417.,3.0417
mp-571442,-1.710965791249998,The formation energy per atom for mp-571442 is -1.710965791249998.,-1.710965791249998
mp-1154,0.7510000000000001,The band gap of mp-1154 is 0.751 eV.,0.751
mp-1154,-0.286120912954541,The formation energy per atom for mp-1154 is -0.286120912954541.,-0.286120912954541
mp-1524481,8.309,The band gap of mp-1524481 is 8.309.,8.309
mp-1524481,-1.27488559425,The formation energy per atom for mp-1524481 is -1.27488559425.,-1.27488559425
mp-27972,4.103299999999999,The band gap of mp-27972 is 4.1033 eV.,4.1033
mp-27972,-2.494519163125,The formation energy per atom for mp-27972 is -2.494519163125.,-2.494519163125
mp-27153,0.2115,The band gap of mp-27153 is 0.2115.,0.2115
mp-27153,-1.76299271,The formation energy per atom for mp-27153 is -1.76299271.,-1.76299271
mp-1524458,3.1633,The band gap of mp-1524458 is 3.1633.,3.1633
mp-1524458,-1.529192906999997,The formation energy per atom for mp-1524458 is -1.529192906999997.,-1.529192906999997
mp-634859,2.7345,The band gap of mp-634859 is 2.7345.,2.7345
mp-634859,-2.206560153333333,The formation energy per atom for mp-634859 is -2.206560153333333.,-2.206560153333333
mp-468,7.6012,The band gap of mp-468 is 7.6012.,7.6012
mp-468,-3.86576940625,The formation energy per atom for mp-468 is -3.86576940625.,-3.86576940625
mp-559931,1.6025,The band gap of mp-559931 is 1.6025.,1.6025
mp-559931,-3.238528048750001,The formation energy per atom for mp-559931 is -3.238528048750001.,-3.238528048750001
mp-1206891,1.0096,The band gap of mp-1206891 is 1.0096.,1.0096
mp-1206891,-0.5667571437499991,The formation energy per atom for mp-1206891 is -0.5667571437499991.,-0.5667571437499991
mp-1095275,0.4889,The band gap of mp-1095275 is 0.4889.,0.4889
mp-1095275,-0.009709900654762,The formation energy per atom for mp-1095275 is -0.009709900654762.,-0.009709900654762
mp-1201,0.1314,The band gap of mp-1201 is 0.1314.,0.1314
mp-1201,-0.383199846000002,The formation energy per atom for mp-1201 is -0.383199846000002.,-0.383199846000002
mp-570437,2.3382,The band gap of mp-570437 is 2.3382.,2.3382
mp-570437,-0.827083558444443,The formation energy per atom for mp-570437 is -0.827083558444443.,-0.827083558444443
mp-27358,2.9034,The band gap of mp-27358 is 2.9034.,2.9034
mp-27358,-1.022062649955356,The formation energy per atom for mp-27358 is -1.022062649955356.,-1.022062649955356
mp-754815,3.976499999999999,The band gap of mp-754815 is 3.9765 eV.,3.9765
mp-754815,-2.30537281125,The formation energy per atom for mp-754815 is -2.30537281125.,-2.30537281125
mp-568263,1.2121,The band gap of mp-568263 is 1.2121.,1.2121
mp-568263,-0.69001870828125,The formation energy per atom for mp-568263 is -0.69001870828125.,-0.69001870828125
mp-1025522,0.6758999999999991,The band gap of mp-1025522 is 0.6759 eV.,0.6759
mp-1025522,-1.162119996249998,The formation energy per atom for mp-1025522 is -1.162119996249998.,-1.162119996249998
mp-571011,1.7836,The band gap of mp-571011 is 1.7836.,1.7836
mp-571011,-0.975770047431038,The formation energy per atom for mp-571011 is -0.975770047431038.,-0.975770047431038
mp-28044,4.918,The band gap of mp-28044 is 4.918.,4.918
mp-28044,-2.512653630624999,The formation energy per atom for mp-28044 is -2.512653630624999.,-2.512653630624999
mp-1217322,0.7062,The band gap of mp-1217322 is 0.7062.,0.7062
mp-1217322,-0.010930726197914,The formation energy per atom for mp-1217322 is -0.010930726197914.,-0.010930726197914
mp-541155,0.9239,The band gap of mp-541155 is 0.9239.,0.9239
mp-541155,-0.9510626574999992,The formation energy per atom for mp-541155 is -0.9510626574999992.,-0.9510626574999992
mp-19,0.1856,The band gap of mp-19 is 0.1856.,0.1856
mp-19,0.0,The formation energy per atom for mp-19 is 0.0.,0.0
mp-22885,2.686199999999999,The band gap of mp-22885 is 2.686199999999999.,2.686199999999999
mp-22885,-0.7818107566666681,The formation energy per atom for mp-22885 is -0.7818107566666681.,-0.7818107566666681
mp-20652,1.9078,The band gap of mp-20652 is 1.9078.,1.9078
mp-20652,-2.26442824375,The formation energy per atom for mp-20652 is -2.26442824375.,-2.26442824375
mp-27857,0.9792,The band gap of mp-27857 is 0.9792.,0.9792
mp-27857,-0.694771309999999,The formation energy per atom for mp-27857 is -0.694771309999999.,-0.694771309999999
mp-985829,1.2237,The band gap of mp-985829 is 1.2237.,1.2237
mp-985829,-1.806995168541668,The formation energy per atom for mp-985829 is -1.806995168541668.,-1.806995168541668
mp-30034,4.4707,The band gap of mp-30034 is 4.4707.,4.4707
mp-30034,-1.853706801666665,The formation energy per atom for mp-30034 is -1.853706801666665.,-1.853706801666665
mp-22881,3.5244,The band gap of mp-22881 is 3.5244.,3.5244
mp-22881,-1.2745155149999992,The formation energy per atom for mp-22881 is -1.2745155149999992.,-1.2745155149999992
mp-32755,1.0395,The band gap of mp-32755 is 1.0395.,1.0395
mp-32755,-1.857414943749999,The formation energy per atom for mp-32755 is -1.857414943749999.,-1.857414943749999
mp-2715,0.172299999999999,The band gap of mp-2715 is 0.1723 eV.,0.1723
mp-2715,-0.290117705833334,The formation energy per atom for mp-2715 is -0.290117705833334.,-0.290117705833334
mp-504759,0.9911,The band gap of mp-504759 is 0.9911.,0.9911
mp-504759,-2.631161137083333,The formation energy per atom for mp-504759 is -2.631161137083333.,-2.631161137083333
mp-1525121,1.687399999999999,The band gap of mp-1525121 is 1.6874 eV.,1.6874
mp-1525121,0.0,The formation energy per atom for mp-1525121 is 0.0.,0.0
mp-865194,5.3798,The band gap of mp-865194 is 5.3798.,5.3798
mp-865194,-4.181989037499999,The formation energy per atom for mp-865194 is -4.181989037499999.,-4.181989037499999
mp-541610,2.597,The band gap of mp-541610 is 2.597.,2.597
mp-541610,-0.927984858749999,The formation energy per atom for mp-541610 is -0.927984858749999.,-0.927984858749999
mp-28933,1.7587000000000002,The band gap of mp-28933 is 1.7587 eV.,1.7587
mp-28933,-0.198695136500001,The formation energy per atom for mp-28933 is -0.198695136500001.,-0.198695136500001
mp-23205,3.6162,The band gap of mp-23205 is 3.6162.,3.6162
mp-23205,-1.3037782916666671,The formation energy per atom for mp-23205 is -1.3037782916666671.,-1.3037782916666671
mp-985831,0.5342,The band gap of mp-985831 is 0.5342.,0.5342
mp-985831,-1.564946299374999,The formation energy per atom for mp-985831 is -1.564946299374999.,-1.564946299374999
mp-540829,0.710199999999999,The band gap of mp-540829 is 0.710199999999999.,0.7102
mp-540829,-1.872036438333334,The formation energy per atom for mp-540829 is -1.872036438333334.,-1.872036438333334
mp-1525632,2.8979,The band gap of mp-1525632 is 2.8979.,2.8979
mp-1525632,0.0,The formation energy per atom for mp-1525632 is 0.0.,0.0
mp-573815,0.9469999999999992,The band gap of mp-573815 is 0.947 eV.,0.947
mp-573815,-0.348767611458335,The formation energy per atom for mp-573815 is -0.348767611458335.,-0.348767611458335
mp-607450,0.229,The band gap of mp-607450 is 0.229.,0.229
mp-607450,-0.235972947500002,The formation energy per atom for mp-607450 is -0.235972947500002.,-0.235972947500002
mp-23162,1.0479,The band gap of mp-23162 is 1.0479.,1.0479
mp-23162,-1.87860569,The formation energy per atom for mp-23162 is -1.87860569.,-1.87860569
mp-2402,1.1286,The band gap of mp-2402 is 1.1286.,1.1286
mp-2402,-0.069361268125,The formation energy per atom for mp-2402 is -0.069361268125.,-0.069361268125
mp-9922,1.1326,The band gap of mp-9922 is 1.1326.,1.1326
mp-9922,-1.373804485859373,The formation energy per atom for mp-9922 is -1.373804485859373.,-1.373804485859373
mp-1545216,0.4836,The band gap of mp-1545216 is 0.4836.,0.4836
mp-1545216,-0.907728662126436,The formation energy per atom for mp-1545216 is -0.907728662126436.,-0.907728662126436
mp-1968,3.824799999999999,The band gap of mp-1968 is 3.8248 eV.,3.8248
mp-1968,-3.8759289195,The formation energy per atom for mp-1968 is -3.8759289195.,-3.8759289195
mp-29711,0.638899999999999,The band gap of mp-29711 is 0.6389 eV.,0.6389
