mp_id,property,tool_value,tool_source_mpid,tool_source_field,raw_output,model,experiment,ts
mp-1232276,formation_energy_per_atom,-2.021422001041666,mp-1232276,formation_energy_per_atom,mp-1232276: formation_energy_per_atom = -2.021422001041666 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621328.968578
mp-1227290,band_gap,0.1101,mp-1227290,band_gap,mp-1227290: band_gap = 0.1101 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621330.458879
mp-1227290,formation_energy_per_atom,-1.27488559425,mp-1524481,formation_energy_per_atom,mp-1227290: formation_energy_per_atom = -1.27488559425 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621331.609859
mp-1170,band_gap,1.514799999999999,mp-1170,band_gap,mp-1170: band_gap = 1.514799999999999 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621333.079575
mp-1170,formation_energy_per_atom,-0.473969728541665,mp-1170,formation_energy_per_atom,mp-1170: formation_energy_per_atom = -0.473969728541665 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621334.710016
mp-32633,band_gap,0.5265000000000001,mp-32633,band_gap,mp-32633: band_gap = 0.5265 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621336.2257779
mp-32633,formation_energy_per_atom,-1.930073411158088,mp-32633,formation_energy_per_atom,mp-32633: formation_energy_per_atom = -1.930073411158088 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621337.8444538
mp-1195922,band_gap,2.4744,mp-570738,band_gap,mp-1195922: band_gap = 2.4744 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621339.4141738
mp-1195922,formation_energy_per_atom,-0.417257172291664,mp-1195922,formation_energy_per_atom,mp-1195922: formation_energy_per_atom = -0.417257172291664 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621340.951046
mp-254,band_gap,7.6164,mp-254,band_gap,mp-254: band_gap = 7.6164 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621342.5879831
mp-254,formation_energy_per_atom,-4.452365858958333,mp-254,formation_energy_per_atom,mp-254: formation_energy_per_atom = -4.452365858958333 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621344.089765
mp-18299,band_gap,0.2155,mp-18299,band_gap,mp-18299: band_gap = 0.2155 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621345.664704
mp-18299,formation_energy_per_atom,-3.992617684583336,mp-18299,formation_energy_per_atom,mp-18299: formation_energy_per_atom = -3.992617684583336 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621347.281992
mp-23185,band_gap,2.8624,mp-23185,band_gap,mp-23185: band_gap = 2.8624 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621348.528044
mp-23185,formation_energy_per_atom,-0.857616325999999,mp-23185,formation_energy_per_atom,mp-23185: formation_energy_per_atom = -0.857616325999999 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621350.400701
mp-23290,band_gap,1.7917,mp-23290,band_gap,mp-23290: band_gap = 1.7917 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621352.008518
mp-23290,formation_energy_per_atom,-0.475064009999998,mp-23290,formation_energy_per_atom,mp-23290: formation_energy_per_atom = -0.475064009999998 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621353.331072
mp-30031,band_gap,3.8971,mp-30031,band_gap,mp-30031: band_gap = 3.8971 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621354.8765361
mp-30031,formation_energy_per_atom,-1.89441126,mp-30031,formation_energy_per_atom,mp-30031: formation_energy_per_atom = -1.89441126 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621356.1687171
mp-555908,band_gap,1.514799999999999,mp-1170,band_gap,mp-555908: band_gap = 1.5148 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621357.4934359
mp-555908,formation_energy_per_atom,-2.341685073333334,mp-555908,formation_energy_per_atom,mp-555908: formation_energy_per_atom = -2.341685073333334 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621358.839831
mp-22398,band_gap,3.1061,mp-22398,band_gap,mp-22398: band_gap = 3.1061 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621360.194299
mp-22398,formation_energy_per_atom,-2.648772015416667,mp-22398,formation_energy_per_atom,mp-22398: formation_energy_per_atom = -2.648772015416667 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621361.3601868
mp-27628,band_gap,1.3552,mp-27628,band_gap,mp-27628: band_gap = 1.3552 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621362.673514
mp-27628,formation_energy_per_atom,-0.3329571455,mp-27628,formation_energy_per_atom,mp-27628: formation_energy_per_atom = -0.3329571455 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621364.0851898
mp-1212833,band_gap,0.3912,mp-1212833,band_gap,mp-1212833: band_gap = 0.3912 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621365.421613
mp-1212833,formation_energy_per_atom,-0.299415060454546,mp-1212833,formation_energy_per_atom,mp-1212833: formation_energy_per_atom = -0.299415060454546 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621366.684708
mp-571518,band_gap,1.9169,mp-571518,band_gap,mp-571518: band_gap = 1.9169 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621367.9413671
mp-571518,formation_energy_per_atom,-0.946381717857144,mp-571518,formation_energy_per_atom,mp-571518: formation_energy_per_atom = -0.946381717857144 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621369.3268712
mp-9852,band_gap,0.1259,mp-9852,band_gap,mp-9852: band_gap = 0.1259 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621370.600449
mp-9852,formation_energy_per_atom,-0.616732226646824,mp-9852,formation_energy_per_atom,mp-9852: formation_energy_per_atom = -0.616732226646824 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621371.9276218
mp-34202,band_gap,0.3388,mp-34202,band_gap,mp-34202: band_gap = 0.3388 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621373.312566
mp-34202,formation_energy_per_atom,-0.274401004000003,mp-34202,formation_energy_per_atom,mp-34202: formation_energy_per_atom = -0.274401004000003 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621374.6408918
mp-570796,band_gap,1.537399999999999,mp-570796,band_gap,mp-570796: band_gap = 1.5374 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621376.077035
mp-570796,formation_energy_per_atom,-0.7330447383333331,mp-570796,formation_energy_per_atom,mp-570796: formation_energy_per_atom = -0.7330447383333331 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621377.288878
mp-1195,band_gap,1.8930999999999991,mp-1195,band_gap,mp-1195: band_gap = 1.8931 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621378.605819
mp-1195,formation_energy_per_atom,-0.50608046735294,mp-1195,formation_energy_per_atom,mp-1195: formation_energy_per_atom = -0.50608046735294 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621380.005467
mp-672204,band_gap,0.378699999999999,mp-672204,band_gap,mp-672204: band_gap = 0.3787 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621381.3387341
mp-672204,formation_energy_per_atom,-0.400380674374999,mp-672204,formation_energy_per_atom,mp-672204: formation_energy_per_atom = -0.400380674374999 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621382.652116
mp-29179,band_gap,3.1002,mp-29179,band_gap,mp-29179: band_gap = 3.1002 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621384.005117
mp-29179,formation_energy_per_atom,-1.180246544770117,mp-7988,formation_energy_per_atom,mp-29179: formation_energy_per_atom = -1.180246544770117 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621385.189764
mp-1205121,band_gap,0.2452,mp-1205121,band_gap,mp-1205121: band_gap = 0.2452 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621386.434483
mp-1205121,formation_energy_per_atom,-0.510760389375001,mp-1205121,formation_energy_per_atom,mp-1205121: formation_energy_per_atom = -0.510760389375001 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621387.808884
mp-10497,band_gap,2.2919,mp-10497,band_gap,mp-10497: band_gap = 2.2919 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621389.2848582
mp-10497,formation_energy_per_atom,-0.127321634999998,mp-10497,formation_energy_per_atom,mp-10497: formation_energy_per_atom = -0.127321634999998 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621390.609887
mp-27148,band_gap,0.836199999999999,mp-27148,band_gap,mp-27148: band_gap = 0.836 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621391.828785
mp-27148,formation_energy_per_atom,-0.319383066011903,mp-27148,formation_energy_per_atom,mp-27148: formation_energy_per_atom = -0.319383066011903 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621393.169325
mp-1545417,band_gap,-1.718154452499998,mp-1545417,formation_energy_per_atom,mp-1545417: band_gap = 3.36 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621394.507931
mp-1545417,formation_energy_per_atom,0.7358999999999991,mp-1545417,band_gap,mp-1545417: formation_energy_per_atom = 0.7359,gemini,exp2a_grounded_naive_retrieval_noverify,1770621395.7183301
mp-1203760,band_gap,1.0648,mp-1203760,band_gap,mp-1203760: band_gap = 1.0648 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621397.247039
mp-1203760,formation_energy_per_atom,-0.553621656590911,mp-1203760,formation_energy_per_atom,mp-1203760: formation_energy_per_atom = -0.553621656590911 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621398.806792
mp-470,band_gap,0.9911,mp-504759,band_gap,mp-470: band_gap = 0.9911 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621400.125956
mp-470,formation_energy_per_atom,-0.5667571437499991,mp-1206891,formation_energy_per_atom,mp-470: formation_energy_per_atom = -0.5667571437499991 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621401.633502
mp-16922,band_gap,0.3248,mp-16922,band_gap,mp-16922: band_gap = 0.3248 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621402.903109
mp-16922,formation_energy_per_atom,-0.962356391249998,mp-16922,formation_energy_per_atom,mp-16922: formation_energy_per_atom = -0.962356391249998 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621404.336728
mp-624,band_gap,2.6454,mp-624,band_gap,mp-624: band_gap = 2.6454 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621405.5379689
mp-624,formation_energy_per_atom,-0.209188941071428,mp-624,formation_energy_per_atom,mp-624: formation_energy_per_atom = -0.209188941071428 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621407.102541
mp-22859,band_gap,1.6513,mp-22859,band_gap,mp-22859: band_gap = 1.6513 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621408.8559282
mp-22859,formation_energy_per_atom,-0.443566703750002,mp-22859,formation_energy_per_atom,mp-22859: formation_energy_per_atom = -0.443566703750002 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621410.997931
mp-31050,band_gap,3.6753,mp-31050,band_gap,mp-31050: band_gap = 3.6753 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621412.5329988
mp-31050,formation_energy_per_atom,-0.30258604611111,mp-31050,formation_energy_per_atom,mp-31050: formation_energy_per_atom = -0.30258604611111 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621413.8400068
mp-541013,band_gap,1.0859,mp-541013,band_gap,mp-541013: band_gap = 1.0859 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621415.090187
mp-541013,formation_energy_per_atom,-1.031189425666664,mp-541013,formation_energy_per_atom,mp-541013: formation_energy_per_atom = -1.031189425666664 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621416.401561
mp-18536,band_gap,4.4707,mp-30034,band_gap,mp-18536: band_gap = 4.4707 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621418.5811899
mp-18536,formation_energy_per_atom,-1.128947433749999,mp-18536,formation_energy_per_atom,mp-18536: formation_energy_per_atom = -1.128947433749999 (eV/atom),gemini,exp2a_grounded_naive_retrieval_noverify,1770621420.0063722
mp-200,band_gap,0.861699999999999,mp-200,band_gap,mp-200: band_gap = 0.8617 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621421.3747919
mp-200,formation_energy_per_atom,-0.514802012604166,mp-200,formation_energy_per_atom,mp-200: formation_energy_per_atom = -0.514802012604166 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621422.859057
mp-23261,band_gap,1.8389,mp-1204356,band_gap,mp-23261: band_gap = 1.8389 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621424.254734
mp-23261,formation_energy_per_atom,-0.7564620653571411,mp-23261,formation_energy_per_atom,mp-23261: formation_energy_per_atom = -0.7564620653571411 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621425.6647658
mp-7440,band_gap,0.8684000000000001,mp-7440,band_gap,mp-7440: band_gap = 0.8684 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621427.021406
mp-7440,formation_energy_per_atom,-0.499863119613094,mp-7440,formation_energy_per_atom,mp-7440: formation_energy_per_atom = -0.499863119613094 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621428.5492742
mp-569867,band_gap,0.378,mp-569867,band_gap,mp-569867: band_gap = 0.378 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621430.0445771
mp-569867,formation_energy_per_atom,-1.068962764541666,mp-685014,formation_energy_per_atom,mp-569867: formation_energy_per_atom = -1.068962764541666 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621431.426496
mp-1205852,band_gap,0.8523000000000001,mp-1205852,band_gap,mp-1205852: band_gap = 0.8523 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621432.909313
mp-1205852,formation_energy_per_atom,-2.094997655499997,mp-1205852,formation_energy_per_atom,mp-1205852: formation_energy_per_atom = -2.094997655499997 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621434.346623
mp-28483,band_gap,1.069899999999999,mp-28483,band_gap,mp-28483: band_gap = 1.0699 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621435.6534579
mp-28483,formation_energy_per_atom,-0.9345107228571432,mp-28483,formation_energy_per_atom,mp-28483: formation_energy_per_atom = -0.9345107228571432 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621437.008488
mp-561664,band_gap,4.0186,mp-561664,band_gap,mp-561664: band_gap = 4.0186 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621438.338476
mp-561664,formation_energy_per_atom,-2.216336207,mp-561664,formation_energy_per_atom,mp-561664: formation_energy_per_atom = -2.216336207 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621439.666805
mp-27871,band_gap,1.2584,mp-27871,band_gap,mp-27871: band_gap = 1.2584 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621440.8962119
mp-27871,formation_energy_per_atom,-0.8457965725000001,mp-27871,formation_energy_per_atom,mp-27871: formation_energy_per_atom = -0.8457965725 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621442.1282969
mp-680339,band_gap,0.755599999999999,mp-680339,band_gap,mp-680339: band_gap = 0.7556 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621443.5581172
mp-680339,formation_energy_per_atom,-0.28327900617555,mp-680339,formation_energy_per_atom,mp-680339: formation_energy_per_atom = -0.28327900617555 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621444.991113
mp-582753,band_gap,0.8007000000000001,mp-582753,band_gap,mp-582753: band_gap = 0.8007 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621446.4284759
mp-582753,formation_energy_per_atom,-0.434993182323239,mp-582753,formation_energy_per_atom,mp-582753: formation_energy_per_atom = -0.434993182323239 (eV/atom),gemini,exp2a_grounded_naive_retrieval_noverify,1770621447.8633118
mp-30092,band_gap,3.4576,mp-30092,band_gap,mp-30092: band_gap = 3.4576 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621449.397931
mp-30092,formation_energy_per_atom,-1.725360933333334,mp-30092,formation_energy_per_atom,mp-30092: formation_energy_per_atom = -1.725360933333334 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621450.831886
mp-27161,band_gap,2.9118,mp-27161,band_gap,mp-27161: band_gap = 2.9118 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621452.163455
mp-27161,formation_energy_per_atom,-0.8721765856249991,mp-27161,formation_energy_per_atom,mp-27161: formation_energy_per_atom = -0.8721765856249991 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621453.494038
mp-1018138,band_gap,1.037,mp-1018138,band_gap,mp-1018138: band_gap = 1.037 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621454.926753
mp-1018138,formation_energy_per_atom,-0.7411700000000001,mp-1018138,formation_energy_per_atom,mp-1018138: formation_energy_per_atom = -0.7411700000000001 (eV/atom),gemini,exp2a_grounded_naive_retrieval_noverify,1770621456.359246
mp-23155,band_gap,8.5132,mp-23155,band_gap,mp-23155: band_gap = 8.5132 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621457.793209
mp-23155,formation_energy_per_atom,0.0,mp-23155,formation_energy_per_atom,mp-23155: formation_energy_per_atom = 0.0 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621459.227983
mp-1197742,band_gap,0.8515,mp-1197742,band_gap,mp-1197742: band_gap = 0.8515 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621460.558667
mp-1197742,formation_energy_per_atom,-0.327354584285715,mp-1197742,formation_energy_per_atom,mp-1197742: formation_energy_per_atom = -0.327354584285715 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621461.9902442
mp-647579,band_gap,3.2214,mp-647579,band_gap,mp-647579: band_gap = 3.2214 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621464.0423942
mp-647579,formation_energy_per_atom,-0.198695136500001,mp-28933,formation_energy_per_atom,mp-647579: formation_energy_per_atom = -0.198695136500001 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621465.374628
mp-15649,band_gap,0.8155000000000001,mp-15649,band_gap,mp-15649: band_gap = 0.8155 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621466.705778
mp-15649,formation_energy_per_atom,-0.69001870828125,mp-568263,formation_energy_per_atom,mp-15649: formation_energy_per_atom = -0.69001870828125 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621468.058828
mp-557993,band_gap,1.1596,mp-557993,band_gap,mp-557993: band_gap = 1.1596 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621469.670911
mp-557993,formation_energy_per_atom,-1.459764126666667,mp-557993,formation_energy_per_atom,mp-557993: formation_energy_per_atom = -1.459764126666667 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621471.107659
mp-7904,band_gap,0.6551,mp-7904,band_gap,mp-7904: band_gap = 0.6551 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621472.541019
mp-7904,formation_energy_per_atom,-0.120742532380951,mp-7904,formation_energy_per_atom,mp-7904: formation_energy_per_atom = -0.120742532380951 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621473.97565
mp-570738,band_gap,2.4744,mp-570738,band_gap,mp-570738: band_gap = 2.4744 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621475.408591
mp-570738,formation_energy_per_atom,-0.727731253611111,mp-570738,formation_energy_per_atom,mp-570738: formation_energy_per_atom = -0.727731253611111 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621476.740544
mp-628742,band_gap,0.5845,mp-628742,band_gap,mp-628742: band_gap = 0.5845 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621478.073112
mp-628742,formation_energy_per_atom,-0.486485566153847,mp-628742,formation_energy_per_atom,mp-628742: formation_energy_per_atom = -0.486485566153847 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621479.4030368
mp-1204356,band_gap,1.8389,mp-1204356,band_gap,mp-1204356: band_gap = 1.8389 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621480.734333
mp-1204356,formation_energy_per_atom,-0.305946444868422,mp-1204356,formation_energy_per_atom,mp-1204356: formation_energy_per_atom = -0.305946444868422 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621482.139871
mp-7262,band_gap,0.224099999999999,mp-7262,band_gap,mp-7262: band_gap = 0.224 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621483.495084
mp-7262,formation_energy_per_atom,-0.148990749583333,mp-7262,formation_energy_per_atom,mp-7262: formation_energy_per_atom = -0.148990749583333 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621484.624725
mp-28879,band_gap,1.1418,mp-28879,band_gap,mp-28879: band_gap = 1.1418 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621486.062176
mp-28879,formation_energy_per_atom,-1.057331754908424,mp-28879,formation_energy_per_atom,mp-28879: formation_energy_per_atom = -1.057331754908424 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621487.421458
mp-27684,band_gap,1.099199999999999,mp-27684,band_gap,mp-27684: band_gap = 1.0992 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621489.336971
mp-27684,formation_energy_per_atom,-0.932556454761906,mp-27684,formation_energy_per_atom,mp-27684: formation_energy_per_atom = -0.932556454761906 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621490.773068
mp-541404,band_gap,0.7584000000000001,mp-541404,band_gap,mp-541404: band_gap = 0.7584 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621491.897014
mp-541404,formation_energy_per_atom,-2.522468176666668,mp-541404,formation_energy_per_atom,mp-541404: formation_energy_per_atom = -2.522468176666668 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621493.329893
mp-1391848,band_gap,2.0863,mp-1391848,band_gap,mp-1391848: band_gap = 2.0863 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621494.660616
mp-1391848,formation_energy_per_atom,-1.853706801666665,mp-30034,formation_energy_per_atom,mp-1391848: formation_energy_per_atom = -1.853706801666665 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621496.1979678
mp-1184796,band_gap,8.0745,mp-1184796,band_gap,mp-1184796: band_gap = 8.0745 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621497.4173381
mp-1184796,formation_energy_per_atom,-1.406990803749999,mp-1184796,formation_energy_per_atom,mp-1184796: formation_energy_per_atom = -1.406990803749999 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621498.858879
mp-9268,band_gap,0.7039000000000001,mp-9268,band_gap,mp-9268: band_gap = 0.7039 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621500.086593
mp-9268,formation_energy_per_atom,-1.167954419796875,mp-9268,formation_energy_per_atom,mp-9268: formation_energy_per_atom = -1.167954419796875 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621501.420522
mp-540922,band_gap,0.1806,mp-540922,band_gap,mp-540922: band_gap = 0.1806 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621502.9568799
mp-540922,formation_energy_per_atom,-0.450521733124998,mp-540922,formation_energy_per_atom,mp-540922: formation_energy_per_atom = -0.450521733124998 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621504.386351
mp-540675,band_gap,3.0664,mp-540675,band_gap,mp-540675: band_gap = 3.0664 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621505.746284
mp-540675,formation_energy_per_atom,-0.349825507562499,mp-540675,formation_energy_per_atom,mp-540675: formation_energy_per_atom = -0.349825507562499 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621507.150956
mp-571235,band_gap,2.021,mp-571235,band_gap,mp-571235: band_gap = 2.021 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621508.482087
mp-571235,formation_energy_per_atom,-0.159580558906249,mp-542810,formation_energy_per_atom,mp-571235: formation_energy_per_atom = -0.159580558906249 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621509.816972
mp-1208424,band_gap,2.5242,mp-1208424,band_gap,mp-1208424: band_gap = 2.5242 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621511.247051
mp-1208424,formation_energy_per_atom,-0.812674219083331,mp-1208424,formation_energy_per_atom,mp-1208424: formation_energy_per_atom = -0.812674219083331 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621512.582947
mp-27971,band_gap,5.0865,mp-27971,band_gap,mp-27971: band_gap = 5.0865 eV,gemini,exp2a_grounded_naive_retrieval_noverify,1770621513.88128
mp-27971,formation_energy_per_atom,-2.788094297499999,mp-27971,formation_energy_per_atom,mp-27971: formation_energy_per_atom = -2.788094297499999 eV/atom,gemini,exp2a_grounded_naive_retrieval_noverify,1770621515.319583
